tot,wh,afam,amin,as,hw,ot,combo1,combo2,combo3,tract,simpsons,gini-simp
4200,1998,725,15,891,30,333,208,0,208,303.14,0.312361224489796,0.687638775510204
9231,5708,540,413,1815,0,207,548,44,504,304.01,0.4334722807678192,0.5665277192321808
4425,3060,264,34,680,0,60,327,155,172,304.03,0.5138237415812824,0.4861762584187176
4906,4254,36,65,245,0,45,261,143,118,304.04,0.7589308016390989,0.24106919836090113
1765,1221,94,0,125,185,30,110,0,110,305.01,0.5054617242735275,0.49453827572647246
5695,3483,484,28,462,235,646,357,22,335,305.03,0.4098437318134833,0.5901562681865167
4416,3093,389,51,292,16,317,258,0,258,305.04,0.5148289405455787,0.4851710594544213
5609,4318,161,144,397,43,18,528,152,376,306.0,0.6132958260132639,0.38670417398673607
3785,3051,149,32,102,29,52,370,0,370,307.0,0.6714661398937962,0.3285338601062038
7201,4504,418,299,186,321,892,581,212,369,308.01,0.42430550880338974,0.5756944911966102
4011,2674,81,235,225,424,113,259,0,259,308.02,0.4717389930122977,0.5282610069877023
3710,2772,133,43,278,6,236,242,0,242,309.01,0.577855871433657,0.422144128566343
6052,3969,271,26,441,544,255,546,0,546,309.02,0.46356210485114907,0.5364378951488509
3989,3192,98,0,458,0,0,241,0,241,310.0,0.6614073636066492,0.3385926363933508
6704,4392,337,522,399,125,398,531,16,515,311.0,0.4573817335925974,0.5426182664074026
6359,4812,96,944,10,35,170,292,42,250,312.02,0.5993402161754268,0.40065978382457323
5863,5244,59,80,287,0,12,181,0,181,312.04,0.8045858286349503,0.19541417136504968
6772,4195,256,26,1016,27,175,1077,32,1045,312.05,0.457497433928455,0.542502566071545
5327,3427,198,10,839,0,387,466,167,299,312.06,0.4571237782636733,0.5428762217363268
3021,2704,21,46,30,20,50,150,0,150,313.01,0.8067737467431171,0.19322625325688292
3867,3656,0,0,0,0,26,185,16,169,313.02,0.898109757398325,0.10189024260167501
6115,4970,267,0,96,0,484,298,0,298,314.0,0.6737388657972132,0.3262611342027868
3862,3441,8,14,131,83,0,185,15,170,315.01,0.7997389079106973,0.20026109208930265
4329,3969,0,64,89,43,20,144,0,144,315.02,0.8435696744775053,0.1564303255224947
5498,4745,31,10,215,27,252,218,37,181,316.01,0.7512304815097945,0.24876951849020545
6037,5054,34,62,249,0,297,341,22,319,316.03,0.7111096062712384,0.2888903937287616
5582,4443,211,53,462,0,73,340,55,285,316.04,0.6484926019435201,0.3515073980564799
3591,3237,85,114,100,0,10,45,0,45,316.05,0.8152238016372035,0.18477619836279646
6882,5317,320,75,891,0,79,200,0,200,317.03,0.6177670484839255,0.3822329515160745
5502,3169,431,20,1160,108,186,428,37,391,317.04,0.3950189752881904,0.6049810247118096
3994,3028,202,10,543,25,21,165,11,154,317.05,0.5990874769841291,0.4009125230158709
7380,4764,814,0,1026,1,334,441,40,401,317.06,0.45680126835143686,0.5431987316485631
4746,3736,61,7,524,131,76,211,52,159,318.0,0.6362616182296659,0.36373838177033413
6877,5322,147,45,659,0,158,546,116,430,319.03,0.6196044884236778,0.38039551157632223
3525,3051,30,15,113,0,126,190,7,183,319.04,0.7571457371359588,0.24285426286404121
3899,2856,89,0,624,0,139,191,0,191,319.06,0.5687542218393244,0.43124577816067555
7670,4405,360,41,1641,41,239,943,160,783,319.07,0.4048167992262307,0.5951832007737693
4640,2814,639,0,522,35,306,324,108,216,319.08,0.41141303136147445,0.5885869686385256
3030,2221,290,0,331,0,1,187,37,150,319.09,0.5647965885697481,0.4352034114302519
3526,3226,24,0,147,0,27,102,0,102,320.02,0.84059119693942,0.15940880306058003
5030,4749,33,0,55,0,17,176,0,176,320.03,0.8940138888339941,0.10598611116600587
6960,5908,222,0,394,20,74,342,34,308,320.05,0.7292873067776457,0.27071269322235425
4811,4215,29,26,209,0,36,296,38,258,320.06,0.7763138162773154,0.22368618372268456
3861,3441,145,17,41,25,41,151,11,140,320.07,0.7988225382682778,0.20117746173172224
4472,3702,95,23,145,0,149,358,29,329,320.08,0.6997840468700497,0.3002159531299503
5883,5008,77,0,438,0,35,325,0,325,320.1,0.7365079761335039,0.26349202386649606
4316,3594,190,15,196,0,8,313,0,313,320.11,0.7079493743133938,0.2920506256866062
5009,4863,0,0,99,0,0,47,0,47,321.02,0.9431212278669009,0.05687877213309911
4589,3913,14,0,475,0,35,152,0,152,321.03,0.7400580020220409,0.25994199797795914
6310,5026,359,0,505,0,280,140,0,140,321.04,0.6470292670552867,0.35297073294471326
7465,5226,64,0,1909,0,12,254,0,254,322.03,0.55788148219263,0.44211851780737
3617,2948,9,0,594,0,0,66,0,66,322.07,0.691932140250372,0.308067859749628
9249,6699,197,2,1865,0,11,475,9,466,322.08,0.5708947609312778,0.4291052390687222
12761,8306,403,0,3168,2,119,763,33,730,322.1,0.4932268032372089,0.5067731967627911
4882,3014,80,7,1402,38,7,334,0,334,322.11,0.47331081529000435,0.5266891847099957
8194,5084,101,0,2507,0,118,384,74,310,322.12,0.4826403395949423,0.5173596604050577
4551,3526,1,10,906,12,1,95,0,95,322.13,0.6407910233496676,0.35920897665033236
6367,3815,43,0,2212,11,6,280,40,240,322.14,0.4831625166763533,0.5168374833236467
5209,3143,18,0,1857,0,20,171,0,171,322.15,0.49333903498017834,0.5066609650198217
6673,6055,105,0,279,50,100,84,13,71,323.07,0.825904817966765,0.17409518203323504
7178,3890,105,0,2686,13,65,419,50,369,323.09,0.44011482175847516,0.5598851782415248
6262,5629,83,0,215,0,20,315,110,205,323.11,0.8133219733920517,0.1866780266079483
6375,3101,124,0,2922,0,104,124,43,81,323.13,0.44793265359477114,0.5520673464052288
5472,4876,40,11,285,13,33,214,0,214,323.15,0.7998979653996103,0.20010203460038967
5799,4341,25,0,1277,0,0,156,0,156,323.16,0.6103265807969875,0.38967341920301246
6478,5567,37,0,610,0,72,192,55,137,323.17,0.7489380782091827,0.2510619217908173
5950,3731,131,0,1622,0,58,408,79,329,323.18,0.4760318056634419,0.5239681943365582
5419,4718,75,29,403,27,30,137,0,137,323.19,0.765099158160132,0.23490084183986804
4565,4185,0,0,306,0,1,73,0,73,323.2,0.8454498667776752,0.1545501332223248
5556,3445,58,18,1583,11,37,404,8,396,323.21,0.4761774997525037,0.5238225002474963
3668,2995,22,0,492,0,11,148,0,148,323.22,0.6879996943710763,0.31200030562892367
5746,3994,73,49,1309,0,54,267,0,267,323.23,0.5396917409456528,0.46030825905434725
5383,3669,54,0,1111,0,390,159,0,159,323.24,0.5142568220958578,0.48574317790414223
5276,3180,311,0,1430,0,34,321,46,275,323.25,0.4467552942616831,0.553244705738317
4130,3459,34,0,417,0,98,122,0,122,323.26,0.7140276369094034,0.2859723630905966
3923,3521,34,18,301,0,0,49,0,49,323.27,0.811850658960155,0.18814934103984504
3455,3020,89,29,234,0,0,83,43,40,323.28,0.7702301033967847,0.22976989660321534
9089,4835,35,11,3977,0,52,179,33,146,323.29,0.4751517677882781,0.5248482322117218
5965,5667,1,0,146,0,9,142,0,142,324.01,0.9043144242504298,0.09568557574957015
6303,5618,220,58,121,0,120,166,0,166,324.02,0.7978753874899067,0.20212461251009328
5425,4925,73,44,157,28,22,176,0,176,325.0,0.8273952388031174,0.17260476119688262
2831,2810,0,0,17,0,0,4,0,4,326.01,0.9852593298622346,0.014740670137765366
13302,10651,110,94,1557,0,86,804,23,781,326.02,0.6620954371324711,0.3379045628675289
6618,5989,196,0,131,2,60,240,44,196,327.02,0.822533369389837,0.177466630610163
2245,2148,11,0,62,0,0,24,0,24,327.03,0.9164678746633201,0.08353212533667986
6623,5905,80,0,21,0,152,465,235,230,327.04,0.8030096756281198,0.19699032437188024
2400,2333,8,10,4,0,0,45,0,45,328.0,0.9456803819444444,0.05431961805555563
