tot,wh,afam,amin,as,hw,ot,combo1,combo2,combo3,tract,simpsons,gini-simp
5284,4401,35,36,411,38,59,304,54,250,61.0,0.705678262000721,0.29432173799927897
4262,3647,74,0,352,0,32,157,6,151,62.0,0.7420183406842434,0.25798165931575656
5201,4680,68,0,171,0,0,282,0,282,63.0,0.816820164699222,0.18317983530077797
3481,3082,51,0,181,0,20,147,9,138,64.0,0.7902067125011791,0.20979328749882087
4443,3898,18,0,313,12,17,185,0,185,65.0,0.7781857260260496,0.22181427397395037
3571,2785,89,2,422,0,22,251,0,251,66.0,0.6327394963676795,0.36726050363232055
8205,5712,49,85,1790,0,29,540,41,499,67.0,0.5404441265692767,0.45955587343072335
3333,2893,31,0,185,0,56,168,8,160,68.0,0.7617016427115259,0.23829835728847415
4598,4088,37,4,243,0,17,209,0,209,69.0,0.7974716109525086,0.20252838904749138
7178,5991,50,49,585,50,0,453,123,330,70.0,0.7097890166394157,0.29021098336058426
4188,2991,120,8,620,8,263,178,0,178,71.0,0.5403592061367859,0.4596407938632141
8017,4839,351,141,1702,0,83,901,69,832,72.0,0.43520282901391605,0.564797170986084
5897,4051,453,6,902,18,136,331,0,331,73.0,0.5080543680591778,0.4919456319408222
5109,4067,100,0,685,0,0,257,0,257,74.01,0.65711019064105,0.34288980935894997
5479,3875,337,0,706,14,89,458,27,431,74.02,0.5340539485728597,0.4659460514271403
8019,6228,325,136,526,0,288,516,20,496,75.0,0.618688940863591,0.38131105913640895
3955,3049,289,24,355,0,15,223,0,223,76.0,0.6141280300984048,0.3858719699015952
5032,3778,580,49,345,0,50,230,0,230,77.0,0.586050943279387,0.413949056720613
5704,4071,409,21,279,0,141,783,31,752,78.0,0.5537943095959825,0.4462056904040175
5922,4644,737,33,291,3,61,153,20,133,79.0,0.6341844804249688,0.3658155195750312
6621,4236,557,20,1398,0,113,297,0,297,80.01,0.465306424677368,0.5346935753226321
3496,2616,219,27,408,0,50,176,12,164,80.02,0.5824837735443974,0.4175162264556026
4599,3103,431,91,472,18,234,250,0,250,81.0,0.4834575768548908,0.5165424231451092
4143,2888,282,0,813,0,14,146,0,146,82.0,0.5315559503250004,0.46844404967499964
2994,2414,95,54,278,8,64,81,0,81,83.0,0.661967778799639,0.338032221200361
4374,3165,186,38,715,36,86,148,17,131,84.0,0.5547044105868133,0.4452955894131867
4377,2339,719,137,629,12,214,327,38,289,85.0,0.3465957453360921,0.6534042546639078
5151,3147,317,15,988,13,308,363,47,316,86.0,0.42623973247302466,0.5737602675269753
4428,2674,761,30,343,0,219,401,18,383,87.0,0.41840383606335313,0.5815961639366469
4116,2661,597,22,214,170,183,269,0,269,88.0,0.4539586798206718,0.5460413201793282
5363,2824,1390,44,291,0,34,780,60,720,89.0,0.3868068407057994,0.6131931592942006
3550,1413,866,27,943,0,10,291,28,263,90.0,0.30083213648085694,0.6991678635191431
2766,525,549,69,1466,0,0,157,0,157,91.0,0.36339428417270125,0.6366057158272987
2613,1345,262,139,677,4,42,144,0,144,92.0,0.3512964483713493,0.6487035516286507
2715,1397,304,27,606,0,146,235,0,235,93.0,0.34509270847111573,0.6549072915288843
6278,2068,519,126,2087,18,760,700,33,667,94.0,0.2646653854066056,0.7353346145933943
6448,4103,1228,29,582,0,75,431,0,431,95.0,0.45841308151795773,0.5415869184820423
5632,4613,215,0,351,0,59,394,20,374,96.0,0.6856425892223013,0.31435741077769874
6136,5221,88,31,400,0,90,306,42,264,97.01,0.7330777793737432,0.2669222206262568
5837,5094,40,28,241,0,77,357,0,357,97.02,0.7710504629376752,0.2289495370623248
7117,5970,100,49,487,0,17,494,0,494,98.0,0.7182155564447219,0.2817844435552781
5382,4164,116,22,630,0,69,381,0,381,99.0,0.6229671458089857,0.3770328541910143
4276,1640,1179,22,1170,0,32,233,18,215,100.01,0.30358967229368167,0.6964103277063183
5000,2555,260,99,1469,12,201,404,28,376,100.02,0.3643723199999999,0.63562768
7449,2867,2460,36,1378,23,90,595,0,595,101.0,0.3043589503896556,0.6956410496103445
4542,3025,431,4,806,0,36,240,7,233,102.0,0.4895485959025028,0.5104514040974972
6397,2928,1686,82,1264,0,0,437,0,437,103.0,0.32750760117961153,0.6724923988203885
4443,841,574,0,2492,0,277,259,0,259,104.01,0.3777921950224639,0.6222078049775361
4905,1426,528,9,2493,0,161,288,0,288,104.02,0.3624086595362862,0.6375913404637138
6853,5744,150,12,534,0,32,381,30,351,105.0,0.7148433162366205,0.28515668376337955
8156,6566,245,102,574,18,111,540,0,540,106.0,0.6630770175303986,0.3369229824696014
3702,1862,1039,0,406,147,94,154,21,133,107.01,0.34905220096544254,0.6509477990345575
4386,1379,1755,0,754,0,227,271,0,271,107.02,0.29883007721163957,0.7011699227883604
4845,2513,542,0,1077,93,38,582,22,560,108.0,0.3591954511422732,0.6408045488577268
1109,856,21,23,16,19,82,92,6,86,109.0,0.615460357546787,0.38453964245321304
4794,786,1638,10,2065,21,147,127,0,127,110.01,0.3315346119097209,0.6684653880902791
4798,424,1568,176,2528,34,15,53,0,53,110.02,0.39386804214136056,0.6061319578586395
5137,1204,1006,41,2318,63,79,426,0,426,111.01,0.3111027649679301,0.6888972350320699
4689,2133,430,10,1217,0,515,384,0,384,111.02,0.30818215230911417,0.6918178476908858
3821,2049,193,25,395,187,317,655,29,626,112.0,0.366403080648883,0.6335969193511171
6972,3549,322,27,1349,45,178,1502,216,1286,113.0,0.38079084636225424,0.6192091536377458
4268,2348,631,25,418,36,495,315,12,303,114.01,0.35815634801917284,0.6418436519808272
4573,2429,727,72,638,153,268,286,7,279,114.02,0.33930783127981606,0.6606921687201839
4450,3436,201,64,366,0,144,239,33,206,115.0,0.611333467996465,0.38866653200353496
7001,6171,41,83,201,0,98,407,0,407,116.0,0.7849005022054821,0.21509949779451787
5399,982,1347,33,2041,215,94,687,21,666,117.0,0.27158651792891336,0.7284134820710866
8189,2387,2589,112,1940,0,507,654,23,631,118.0,0.25738682986766376,0.7426131701323362
7592,1865,1819,3,2687,301,253,664,12,652,119.0,0.26072377640042593,0.739276223599574
3496,2913,204,108,80,25,0,166,0,166,120.0,0.7037289101896119,0.2962710898103881
2731,2175,62,23,128,126,97,120,0,120,121.0,0.64430603452957,0.35569396547043
3221,2705,79,10,341,0,11,75,11,64,201.0,0.7180457030618587,0.28195429693814134
5381,4333,133,14,461,0,69,371,0,371,202.0,0.6660414701199556,0.3339585298800444
6989,4585,348,47,1357,33,302,317,83,234,203.0,0.4758087955438672,0.5241912044561328
3689,2723,199,72,316,0,143,236,0,236,204.01,0.5651678067321684,0.4348321932678316
5650,4326,47,3,566,16,298,394,84,310,204.02,0.6072300728326417,0.39276992716735826
6234,4492,335,126,774,36,158,313,52,261,205.0,0.5429438663588347,0.45705613364116526
3565,2417,189,31,661,35,95,137,0,137,206.0,0.5006819849361388,0.4993180150638612
3740,2385,300,11,611,0,317,116,8,108,207.0,0.44877891847064544,0.5512210815293546
4348,3649,55,19,405,0,12,208,0,208,208.0,0.717757701835441,0.28224229816455904
3570,2613,181,11,464,21,99,181,0,181,209.0,0.5611429669907178,0.43885703300928225
5773,3439,767,283,779,93,0,412,0,412,210.0,0.4035725840940683,0.5964274159059317
4562,2571,472,6,708,5,333,467,125,342,211.0,0.37458079159155716,0.6254192084084429
4036,2892,217,6,492,40,89,300,47,253,213.0,0.5413734270652336,0.4586265729347664
3871,3285,62,3,154,16,0,351,0,351,214.0,0.7384529265666092,0.2615470734333908
4516,3811,121,3,317,9,25,230,0,230,215.0,0.7230156373441619,0.27698436265583815
4965,3883,146,25,446,68,72,325,41,284,216.0,0.6286225532402548,0.37137744675974516
8723,6692,185,52,943,15,346,490,0,490,217.0,0.6086048012498343,0.3913951987501657
5556,4182,32,59,1110,0,13,160,0,160,218.02,0.6082806464035794,0.3917193535964206
4965,3694,278,34,375,0,170,414,49,365,218.03,0.5760615547503217,0.4239384452496783
4883,3644,166,0,465,0,331,277,10,267,218.04,0.577938925474158,0.42206107452584196
5895,4603,120,44,735,17,43,333,76,257,219.03,0.6310323796204571,0.3689676203795429
5094,3159,50,0,1557,0,168,160,0,160,219.04,0.4811566114179456,0.5188433885820545
5466,4398,5,0,617,0,237,209,33,176,219.05,0.6645556558328377,0.3354443441671623
4067,2937,88,0,473,71,186,312,10,302,219.06,0.5493022001949277,0.4506977998050723
