yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang,combinedName
2008,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,Business/Technology,Business/Technology,BU,English,English,Alex Counts
2015,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Susan Hayward
1992,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,History,History,H,English,English,Harrison Edward Livingstone
2013,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,History,History,H,English,English,Donna Strother Deekens
2012,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Mystery,Mystery,MYS,English,English,Dominick Dunne
1997,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,NU,English,English,Patricia Reilly Giff
2006,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,NU,English,English,Kay Thompson
2011,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,NU,English,English,David Ellwand
2006,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,NU,English,English,Avi
1982,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,NU,,,Arthur L. Farnham
2000,1,0,0,Central District,CentralDistrict4,Nonfiction,Childrens,Null,Null,NU,English,English,Jerry Allan
2001,1,0,0,Central District,CentralDistrict4,Nonfiction,Childrens,Null,Religion,NU,"English, Spanish",English,Sue Stanton
2002,1,0,1,Central District,CentralDistrict4,Nonfiction,Adult,Religion,Religion,R,English,English,
2011,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Romance,Romance,ROM,English,English,Jayne Castle
1999,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Romance,Romance,ROM,English,English,Fern Michaels
2005,1,0,0,Central District,CentralDistrict4,Fiction,Young Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Christopher Paolini
2008,1,0,0,Central District,CentralDistrict4,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,"English, Undetermined",English,Michael Crichton
