yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang,combinedName
2003,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,NU,English,English,Anthony Horowitz
2000,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,NU,English,English,Justine Korman
1999,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,NU,English,English,Jim Thomas
2002,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,NU,English,English,Jude Watson
2009,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Frank Beddor
2007,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Alastair Reynolds
2007,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Frank Beddor
2006,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Frank Beddor
1988,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Young Adult,Adventure,Adventure,ADV,English,English,Ann Weil
1988,1,1,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Reginald McKnight
2007,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Art,Art,ART,English,English,Scala Publishers
2001,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,David Sedaris
1982,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Alan Ebert
2013,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,James A. Michener
1997,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Charles Frazier
2007,1,1,0,Laurelhurst,Laurelhurst4,Fiction,Young Adult,Literary Fiction,Literary Fiction,LITF,English,English,Sherman Alexie
1994,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Mystery,Mystery,MYS,English,English,Michael Crichton
2017,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Mystery,Mystery,MYS,English,English,Janet Evanovich
2012,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Nature/Gardening,Nature/Gardening,,English,English,Elvin McDonald
1986,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Childrens,Null,Null,NU,English,English,Kenneth Thomasma
2013,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Sports,Sports,S,English,English,Brian Murphy
1974,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Suspense,Suspense,SUS,English,,Terry Harknett
2014,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Travel,Travel,TR,English,English,James A. Michener
1996,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Bailey White
2012,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Michael Hingson
2014,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,L. M. Montgomery
1986,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Olive Ann Burns
1996,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Anne Rivers Siddons
1998,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Pete Hamill
1994,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Young Adult,History,History,H,English,English,Ann Rinaldi
1985,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Young Adult,Literary Fiction,Literary Fiction,LITF,English,English,Paula Fox
1995,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Mystery,MYS,English,English,Laurie R. King
2004,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Mystery,MYS,English,English,Carolyn Hart
2008,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Mystery,MYS,English,English,Rhys Bowen
2001,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Mystery,MYS,English,English,Parnell Hall
1992,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Mystery,MYS,English,English,Stuart M. Kaminsky
1981,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Mystery,MYS,English,English,Agatha Christie
1989,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Childrens,Null,Null,NU,English,English,Ellen Wilson
2004,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Childrens,Null,Null,NU,English,English,Golden Books
1998,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Childrens,Null,Null,NU,English,English,Laura Numeroff
1986,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Childrens,Null,Null,NU,English,English,Augusta Stevenson
2014,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Childrens,Null,Null,NU,English,English,Natalie Standiford
1998,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Childrens,Null,Null,NU,English,English,Jamie Gilson
2012,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Childrens,Null,Null,NU,English,English,Maurice Sendak
1982,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Childrens,Null,Religion,NU,English,English,Benjamin Hoff
2003,1,0,0,Laurelhurst,Laurelhurst6,Nonfiction,Childrens,Null,Null,NU,English,English,Dan Gutman
2011,1,1,0,Laurelhurst,Laurelhurst6,Nonfiction,Adult,Religion,Religion,R,English,English,Reza Aslan
2013,1,0,0,Laurelhurst,Laurelhurst6,Fiction,Adult,SCiFi/Fantasy,SCiFi/Fantasy,SCIFAN,English,English,Seanan McGuire
1994,1,0,0,Laurelhurst,Laurelhurst6,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Doug Dollemore
1995,1,0,0,Laurelhurst,Laurelhurst6,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Edward M. Hallowell
1993,1,0,0,Laurelhurst,Laurelhurst6,Nonfiction,Adult,Travel,Travel,TR,English,English,David Brewster
1982,1,0,0,Laurelhurst,Laurelhurst6,Fiction,Adult,Western,Western,WS,English,English,Louis L'Amour
1979,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Art,Art,ART,English,English,Ernest Samuels
1980,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Ronald Steel
2013,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Business/Technology,Business/Technology,BU,English,English,Julia A Kittross
2006,1,0,1,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,
1998,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Anne Wilson
1998,1,0,1,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,
1998,1,0,1,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,
1998,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Anne Wilson
2010,1,0,1,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,
1980,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Anne Lindsay Greer
1998,1,0,1,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,
2012,1,0,1,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,,English,
1998,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Anne Wilson
1998,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Anne Wilson
1999,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,,English,Koneman
1999,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,,Koneman
1984,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Lisa Yockelson
1979,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Fannie Merritt Farmer
1981,1,0,0,Montlake,Montlake1,Nonfiction,Adult,Cookery,Cookery,CO,English,English,James Beard
1996,1,0,0,Montlake,Montlake1,Fiction,Adult,Mystery,Mystery,MYS,English,English,Leslie Glass
1985,1,0,0,Montlake,Montlake1,Fiction,Adult,Poetry,Poetry,P,English,Swedish,Edith Sergran
1982,1,0,1,Montlake,Montlake1,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,
1983,1,0,1,Montlake,Montlake1,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,
2003,1,0,1,Montlake,Montlake1,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,
1983,1,0,1,Montlake,Montlake2,Nonfiction,Adult,Art,Art,ART,English,English,The Editors of Eastman Kodak Company
1963,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,,C. Vann Woodward
2003,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Queen Noor
2018,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Tom McAllister
1997,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Elsa Petersen-Schepelern
1988,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Alan Davidson
2005,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Crafts,Crafts,CR,,,Johanna Van Der Bruggen
2008,1,0,0,Montlake,Montlake2,Fiction,Young Adult,Domestic Fiction,Domestic Fiction,DF,English,English,John Van de Ruit
1990,1,0,0,Montlake,Montlake2,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Ward Just
1992,1,1,0,Montlake,Montlake2,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,Arabic,Najīb Maḥfūẓ
1990,1,0,0,Montlake,Montlake2,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Richard Ford
2007,1,0,0,Montlake,Montlake2,Fiction,Adult,Romance,Romance,ROM,English,English,Nicole Mones
2004,1,0,0,Montlake,Montlake2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Peter Robinson
1996,1,0,0,Montlake,Montlake2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Diane Mott Davidson
2008,1,0,0,Montlake,Montlake2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Dave Zeltserman
2014,1,0,0,Montlake,Montlake2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Diane Mott Davidson
2013,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Nature/Gardening,Nature/Gardening,,English,English,Sheri Amsel
2006,1,0,0,Montlake,Montlake2,Fiction,Childrens,Null,Null,NU,English,English,Marguerite Henry
1998,1,0,0,Montlake,Montlake2,Fiction,Adult,Religion,Religion,R,English,English,Barbara Hardner
1993,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,,English,Joseph T. Catalano
1992,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,John Gray
2016,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Heidi Murkoff
1986,1,0,0,Montlake,Montlake2,Fiction,Adult,Sports,Sports,S,English,English,W. P. Kinsella
1999,1,0,0,Montlake,Montlake2,Fiction,Adult,Suspense,Suspense,SUS,English,English,Joseph Kanon
1958,1,0,0,Montlake,Montlake2,Fiction,Adult,Suspense,Suspense,SUS,,,"Eugene Lederer, William Burdick"
1991,1,0,0,Montlake,Montlake3,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Amy Hempel
1976,1,0,0,Montlake,Montlake3,Nonfiction,Adult,Art,Art,ART,English,English,Albert Hofstadter
2009,1,0,0,Montlake,Montlake3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Amy Minato
2012,1,0,0,Montlake,Montlake3,Nonfiction,Adult,Business/Technology,Business/Technology,BU,English,English,Richard L. Brandt
2002,1,0,0,Montlake,Montlake3,Nonfiction,Adult,Cookery,Cookery,CO,French,French,Jacqueline Saulnier
2006,1,0,0,Montlake,Montlake3,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Jodi Picoult
1986,1,0,0,Montlake,Montlake3,Nonfiction,Adult,History,History,H,English,English,E. Bradford Burns
2013,1,0,0,Montlake,Montlake3,Nonfiction,Adult,History,History,H,English,English,Bill Bryson
1995,1,1,0,Montlake,Montlake3,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,V. S. Naipaul
1997,1,0,0,Montlake,Montlake3,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Joyce Carol Oates
2008,1,0,0,Montlake,Montlake3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Stef Penney
2011,1,1,0,Montlake,Montlake3,Fiction,Childrens,Null,Null,NU,Thai,Thai,Prapas Cholsaranon
2000,1,0,1,Montlake,Montlake3,Fiction,Childrens,Null,Null,NU,English,English,Houghton Mifflin
2010,1,0,1,Montlake,Montlake3,Nonfiction,Adult,Reference,Reference,REF,,,Books Minerva
2004,1,0,1,Montlake,Montlake3,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Atkins Health & Medical Information Service
2016,1,0,0,Montlake,Montlake3,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Paul Selig
2003,1,1,0,Montlake,Montlake3,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Samuel R. Chand
1989,1,0,0,Montlake,Montlake3,Fiction,Young Adult,Sports,Sports,S,English,English,Kirk Marshall
2018,1,0,0,Montlake,Montlake3,Fiction,Adult,Suspense,Suspense,SUS,English,English,Jonathan Kellerman
2018,1,0,1,Montlake,Montlake3,Nonfiction,Adult,Travel,Travel,TR,English,English,
2018,1,0,1,Montlake,Montlake3,Nonfiction,Adult,Travel,Travel,TR,English,English,
2004,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Adriana Trigiani
2002,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Kay Baxter
1992,1,0,0,Montlake,Montlake4,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Henry Roth
2009,1,0,0,Montlake,Montlake4,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Candace Bushnell
2015,1,0,0,Montlake,Montlake4,Fiction,Young Adult,Drama,Drama,DR,English,English,David Levithan
1997,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Mystery,MYS,English,English,Ngaio Marsh
1974,1,0,0,Montlake,Montlake4,Fiction,Adult,Poetry,Poetry,P,English,English,Spike Milligan
2013,1,0,0,Montlake,Montlake4,Fiction,Young Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,"English, French",English,Marissa Meyer
1989,1,0,0,Montlake,Montlake4,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,David Drake
2002,1,0,0,Montlake,Montlake4,Fiction,Adult,Suspense,Suspense,SUS,English,English,Janet Evanovich
1986,1,0,0,Montlake,Montlake4,Fiction,Adult,Western,Western,WS,English,English,Louis L'Amour
1997,1,0,0,Northgate,Northgate1,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Michael S. Reynolds
1977,1,0,0,Northgate,Northgate1,Fiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Ernest Hemingway
2015,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Business/Technology,Business/Technology,BU,,,Yanik Silver
2001,1,0,0,Northgate,Northgate1,Fiction,Adult,Drama,Drama,DR,English,English,Henrik Ibsen
1997,1,0,0,Northgate,Northgate1,Fiction,Young Adult,Historical Fiction,Historical Fiction,HF,English,English,Nancy Garden
2009,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Music,Music,MU,English,,Kenneth K. Guilmartin
1995,1,0,0,Northgate,Northgate1,Fiction,Young Adult,Mystery,Mystery,MYS,English,English,Marion Dane Bauer
2000,1,0,0,Northgate,Northgate1,Nonfiction,Childrens,Null,Null,NU,English,English,"Sneed B. Collard III, Steve Jenkins"
2013,1,0,0,Northgate,Northgate1,Fiction,Childrens,Null,Null,NU,English,English,Melissa Lagonegro
2007,1,0,0,Northgate,Northgate1,Fiction,Childrens,Null,Null,NU,English,English,Betty MacDonald
2013,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Business/Technology,Business/Technology,BU,Spanish,English,Eric Worre
2001,1,0,0,Northgate,Northgate1,Fiction,Childrens,Null,Null,NU,English,English,Debbie Dadey
1999,1,0,0,Northgate,Northgate1,Nonfiction,Childrens,Null,Null,NU,English,English,Cecile Schoberle
1989,1,0,0,Northgate,Northgate1,Fiction,Childrens,Null,Null,NU,English,English,Stan Berenstain
1999,1,0,0,Northgate,Northgate1,Fiction,Childrens,Null,Null,NU,English,English,Eric Carle
1998,1,0,0,Northgate,Northgate1,Fiction,Childrens,Null,Null,NU,English,English,Barbara Bazaldua
2017,1,0,0,Northgate,Northgate1,Fiction,Childrens,Null,Null,NU,English,English,Apple Jordan
2010,1,0,0,Northgate,Northgate1,Nonfiction,Childrens,Null,Null,NU,English,English,Taryn Souders
2011,1,1,0,Northgate,Northgate1,Nonfiction,Adult,Religion,Religion,R,English,English,Greg Alexander
2016,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Religion,Religion,R,English,English,Tosha Silver
2000,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Religion,Religion,R,English,English,Mark Nepo
2008,1,0,0,Northgate,Northgate1,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Lauren Groff
2014,1,0,0,Northgate,Northgate1,Fiction,Adult,Suspense,Suspense,SUS,English,English,Kathy Reichs
2016,1,0,0,Northgate,Northgate1,Fiction,Adult,Suspense,Suspense,SUS,English,English,Clive Cussler
2019,1,0,0,Northgate,Northgate1,Fiction,Adult,Suspense,Suspense,SUS,English,English,Brad Meltzer
2012,1,0,0,Northgate,Northgate1,Fiction,Adult,Suspense,Suspense,SUS,English,English,Clive Cussler
2019,1,0,0,Northgate,Northgate2,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Jennifer Pullen
2017,1,0,0,Northgate,Northgate2,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Fleur Jaeggy
2019,1,0,0,Northgate,Northgate2,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Antonio Tabucchi
2006,1,0,0,Northgate,Northgate2,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Abigail Thomas
2016,1,0,0,Northgate,Northgate2,Fiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Lojze Kovacic
2011,1,0,0,Northgate,Northgate2,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Jose Saramago
1992,1,0,0,Northgate,Northgate2,Fiction,Adult,Classics,Classics,CL,English,English,Thomas Mann
2016,1,1,0,Northgate,Northgate2,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Sandip Roy
2014,1,1,0,Northgate,Northgate2,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Akhil Sharma
1967,1,0,0,Northgate,Northgate2,Fiction,Adult,Drama,Drama,DR,English,English,Waldock
1950,1,0,0,Northgate,Northgate2,Fiction,Adult,Drama,Drama,DR,English,,D. W. Lucas
2014,1,0,1,Northgate,Northgate2,Fiction,Adult,Historical Fiction,Historical Fiction,HF,,English,
2010,1,1,0,Northgate,Northgate2,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Tariq Ali
2012,1,0,0,Northgate,Northgate2,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Andrew Miller
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Kazimierz Brandys
2015,1,0,0,Northgate,Northgate2,Fiction,Adult,History,History,H,English,English,Enrique Vila-Matas
2005,1,0,0,Northgate,Northgate2,Nonfiction,Adult,History,History,H,English,English,Gregg Olsen
2014,1,0,0,Northgate,Northgate2,Nonfiction,Adult,History,History,H,English,English,Béla Zombory-Moldován
2000,1,1,0,Northgate,Northgate2,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Horatio Castellanos Moya
2017,1,0,0,Northgate,Northgate2,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Umberto Saba
2011,1,1,0,Northgate,Northgate2,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Joao Ubaldo Ribeiro
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Raymond Roussel
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Alexander Maksik
2013,1,0,0,Northgate,Northgate2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Maurizio De Giovanni
2007,1,0,0,Northgate,Northgate2,Fiction,Childrens,Null,Null,NU,English,English,Robert Kinerk
1965,1,0,0,Northgate,Northgate2,Fiction,Childrens,Null,Null,NU,English,English,Robert Graves
2018,1,0,0,Northgate,Northgate2,Fiction,Childrens,Null,Null,NU,English,English,Robert Graves
2012,1,0,0,Northgate,Northgate2,Fiction,Childrens,Null,Null,NU,English,English,Kristen L. Depken
1970,1,1,0,Northgate,Northgate2,Nonfiction,Adult,Religion,Religion,R,,,"Swami Prabhavananda, Christopher Isherwood"
1978,1,1,0,Northgate,Northgate2,Nonfiction,Adult,Religion,Religion,R,English,Chinese,HsuÌˆan Hua
1983,1,1,0,Northgate,Northgate2,Nonfiction,Adult,Religion,Religion,R,English,Chinese,Master Hsuan Hua
1984,1,1,0,Northgate,Northgate2,Nonfiction,Adult,Religion,Religion,R,"Hindi, English",English,Swami Muktananda
2015,1,1,0,Northgate,Northgate2,Fiction,Young Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Adam Silvera
2003,1,1,0,Northgate,Northgate2,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Adolfo Bioy
2016,1,1,0,Northgate,Northgate2,Fiction,Adult,Suspense,Suspense,SUS,English,English,Rabee Jaber
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Suspense,Suspense,SUS,English,English,Henry Sutton
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Suspense,Suspense,SUS,English,English,John Le Carré
2015,1,0,0,Northgate,Northgate3,Fiction,Adult,Adventure,Adventure,ADV,English,English,Jan Steinbright
2004,1,0,0,Northgate,Northgate3,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Tori Haring-Smith
2017,1,1,0,Northgate,Northgate3,Nonfiction,Adult,Art,Art,ART,English,English,Leila Guerriero
2004,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Neal Thompson
2002,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Michael J. Fox
2008,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,,Dunya Dianne McPherson
2011,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Alma Lutz
2005,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Cherie Burns
1987,1,0,0,Northgate,Northgate3,Fiction,Adult,Classics,Classics,CL,English,English,Jeanette Winterson
1993,1,0,0,Northgate,Northgate3,Fiction,Adult,Classics,Classics,CL,English,English,John Irving
1979,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Crafts,CR,English,English,Sunset Books
1987,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Crafts,CR,English,English,Melanie Paine
1990,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Crafts,CR,,,unknown
1984,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Crafts,CR,English,English,Better Homes and Gardens
1975,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Crafts,CR,English,English,Sunset Book Editors
1995,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Crafts,CR,English,English,Carol Spier
1998,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Crafts,CR,English,English,Singer
1992,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Crafts,CR,English,English,Catherine Revland
1998,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Crafts,CR,English,English,Hilary More
2010,1,0,0,Northgate,Northgate3,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Jane Green
2010,1,0,0,Northgate,Northgate3,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Alan Brennert
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Hilary Mantel
2003,1,0,0,Northgate,Northgate3,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,R. Garcia y Robertson
2014,1,1,0,Northgate,Northgate3,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Scholastique Mukasonga
2005,1,0,0,Northgate,Northgate3,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,R. Garcia y Robertson
1998,1,0,0,Northgate,Northgate3,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Wally Lamb
1970,1,0,0,Northgate,Northgate3,Fiction,Adult,Romance,Romance,ROM,English,,C. D.B. Bryan
2012,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Elle Kennedy
1988,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Sue Grafton
1993,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Mystery,MYS,English,English,G. K. Chesterton
1993,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Mystery,MYS,English,English,John Lescroart
2017,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Mystery,MYS,English,English,C. J. Box
2007,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Harlan Coben
1999,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Patricia Cornwell
