neighborhood_x,isbn,neighborhood_y
Queen Anne,375856110,
Phinney-Greenwood,376010541,
Northgate,376017333,
Northgate,376045426,
Laurelhurst,380016761,
Ravenna,380703890,
Phinney-Greenwood,380709139,
Queen Anne,380709562,
Laurelhurst,380715929,
Phinney-Greenwood,380732300,
Laurelhurst,380788780,
Ravenna,380798913,
Ravenna,385063490,
Laurelhurst,385234120,
Montlake,385264690,
Phinney-Greenwood,385299281,
Laurelhurst,385499345,
Central District,385504209,
Columbia City,385504209,
Northgate,393040933,
Northgate,393060055,
Montlake,393307220,
Phinney-Greenwood,393328627,
Montlake,394406508,
Montlake,394411544,
Northgate,394557131,
Queen Anne,394589424,
Northgate,394746643,
Laurelhurst,395904927,
Montlake,397550154,
Queen Anne,399127216,
Northgate,399152199,
Phinney-Greenwood,399171495,
Northgate,399185488,
Northgate,399214348,
Ravenna,399588728,
Laurelhurst,425062333,
Queen Anne,425140946,
Phinney-Greenwood,425165663,
Ravenna,425172996,
Ravenna,425175405,
Phinney-Greenwood,425180964,
Laurelhurst,425187055,
Columbia City,425199835,
Laurelhurst,425222527,
Central District,425243788,
Northgate,425248089,
Central District,425262308,
Phinney-Greenwood,425276317,
Laurelhurst,439046211,
Northgate,439063086,
Phinney-Greenwood,439161649,
Laurelhurst,439339189,
Queen Anne,439409004,
Phinney-Greenwood,439442141,
Northgate,439442907,
Northgate,439488397,
Northgate,439567645,
Phinney-Greenwood,439577632,
Phinney-Greenwood,439622476,
Phinney-Greenwood,439673631,
Phinney-Greenwood,439680662,
Columbia City,439691435,
Columbia City,439691443,
Ravenna,439791464,
Central District,439822297,
Northgate,439832977,
Northgate,439855454,
Ravenna,440207622,
Ravenna,440213428,
Ravenna,440213991,
Central District,440221420,
Ravenna,440224780,
Montlake,440225345,
Ravenna,440228042,
Laurelhurst,440403081,
Northgate,440410347,
Central District,440413028,
Central District,440417953,
Laurelhurst,440466415,
Columbia City,440475198,
Laurelhurst,440514428,
Queen Anne,440700140,
Phinney-Greenwood,440843049,
Northgate,440846285,
Northgate,440932211,
Queen Anne,441005837,
Laurelhurst,441015026,
Queen Anne,442297297,
Phinney-Greenwood,446354678,
Queen Anne,446354678,
Northgate,446356794,
Central District,446363642,
Central District,446364193,
Phinney-Greenwood,446403121,
Queen Anne,446532681,
Northgate,446571849,
Northgate,446602612,
Phinney-Greenwood,446604089,
Phinney-Greenwood,446604453,
Laurelhurst,446606251,
Northgate,448420082,
Phinney-Greenwood,448424053,
Central District,448426994,
Phinney-Greenwood,449134210,
Phinney-Greenwood,449210820,
Northgate,449223833,
Ravenna,449234215,
Phinney-Greenwood,449911659,
Ravenna,451048490,
Ravenna,451178025,
Ravenna,451181468,
Queen Anne,451190750,
Columbia City,451216490,
Northgate,451219244,
Phinney-Greenwood,451452844,
Laurelhurst,451468120,
Northgate,451528034,
Northgate,452261139,
Central District,452275768,
Montlake,452282829,
Queen Anne,452284694,
Northgate,452296250,
Central District,470196327,
Ravenna,486200949,
Central District,500202192,
Ravenna,515121282,
Laurelhurst,515121487,
Phinney-Greenwood,515135739,
Northgate,516235931,
Ravenna,517538652,
Phinney-Greenwood,517887444,
Ravenna,520018311,
Northgate,520210794,
Queen Anne,520243773,
Northgate,521093740,
Northgate,521315794,
Ravenna,521545250,
Laurelhurst,523005032,
Northgate,525116141,
Columbia City,525242686,
Phinney-Greenwood,525427899,
Phinney-Greenwood,525428348,
Montlake,525428844,
Phinney-Greenwood,525505318,
Columbia City,525563709,
Columbia City,525563709,
Central District,525938028,
Phinney-Greenwood,528876821,
Central District,533052882,
Central District,533144019,
Northgate,544173880,
Columbia City,545052408,
Columbia City,545052432,
Columbia City,545103770,
Queen Anne,545215854,
Queen Anne,545429943,
Northgate,545746388,
Northgate,545832314,
Queen Anne,552528188,
Queen Anne,552777579,
Laurelhurst,553152874,
Ravenna,553157809,
Laurelhurst,553228382,
Laurelhurst,553229516,
Northgate,553237225,
Montlake,553256734,
Ravenna,553265431,
Northgate,553271636,
Queen Anne,553272993,
Central District,553273604,
Columbia City,553273817,
Ravenna,553283685,
Central District,553289519,
Phinney-Greenwood,553393235,
Queen Anne,553493981,
Queen Anne,553521411,
Phinney-Greenwood,553569031,
Montlake,553571915,
Montlake,553572040,
Laurelhurst,553573993,
Central District,553574566,
Laurelhurst,553581430,
Laurelhurst,553583166,
Queen Anne,553583956,
Queen Anne,553587625,
Phinney-Greenwood,571253326,
Phinney-Greenwood,575002832,
Northgate,586044647,
Queen Anne,590032747,
Central District,590058991,
Queen Anne,590316303,
Ravenna,590413392,
Columbia City,590417363,
Queen Anne,590428446,
Phinney-Greenwood,590434500,
Phinney-Greenwood,590435086,
Northgate,590449230,
Columbia City,590471422,
Laurelhurst,590520938,
Northgate,590617230,
Central District,590706365,
Northgate,590929496,
Northgate,590960016,
Ravenna,593128346,
Phinney-Greenwood,606154582,
Northgate,609610015,
Northgate,609804227,
Central District,615139035,
Montlake,618043942,
Phinney-Greenwood,632052813,
Northgate,663562112,
Central District,669471860,
Queen Anne,670021156,
Phinney-Greenwood,670026700,
Ravenna,670830453,
Ravenna,671003941,
Phinney-Greenwood,671014935,
Ravenna,671027573,
Ravenna,671047485,
Phinney-Greenwood,671079336,
Phinney-Greenwood,671226592,
Laurelhurst,671424122,
Queen Anne,671626566,
Central District,671678345,
Montlake,671698370,
Central District,671742841,
Phinney-Greenwood,671765469,
Ravenna,671804561,
Northgate,671887246,
Montlake,674067754,
Queen Anne,679445978,
Ravenna,679451455,
Ravenna,679721738,
Phinney-Greenwood,679729585,
Montlake,679761667,
Laurelhurst,679770151,
Northgate,679800913,
Queen Anne,679813489,
Ravenna,679819460,
Central District,684168413,
Queen Anne,684800470,
Laurelhurst,684801280,
Ravenna,684803968,
Phinney-Greenwood,684864223,
Phinney-Greenwood,687166721,
Phinney-Greenwood,687449081,
Queen Anne,688068049,
Columbia City,688090710,
Columbia City,688091288,
Northgate,688114334,
Laurelhurst,688158579,
Northgate,689822618,
Central District,689874510,
Phinney-Greenwood,689877404,
Phinney-Greenwood,689878370,
Queen Anne,694003611,
Northgate,696000717,
Northgate,696011956,
Columbia City,714845299,
Laurelhurst,736423087,
Northgate,736435883,
Northgate,736436006,
Northgate,738215155,
Central District,742512118,
Queen Anne,743202627,
Queen Anne,743260244,
Queen Anne,743456459,
Queen Anne,743457919,
Central District,743464265,
Ravenna,743496744,
Laurelhurst,747235643,
Ravenna,751531642,
Laurelhurst,756408148,
Ravenna,756539536,
Phinney-Greenwood,756657733,
Phinney-Greenwood,758219725,
Phinney-Greenwood,758220510,
Montlake,761187480,
Ravenna,761385312,
Northgate,762431717,
Columbia City,763638099,
Queen Anne,763646210,
Ravenna,763678880,
Queen Anne,764224158,
Queen Anne,764585967,
Northgate,765344912,
Northgate,765345730,
Montlake,767919408,
Queen Anne,771036604,
Phinney-Greenwood,778315991,
Phinney-Greenwood,778317870,
Central District,778330257,
Northgate,786815477,
Phinney-Greenwood,786816414,
Northgate,786838078,
Phinney-Greenwood,786846054,
Ravenna,786849495,
Phinney-Greenwood,786866780,
Northgate,786867647,
Northgate,789485796,
Queen Anne,794502342,
Northgate,794506178,
Northgate,794529631,
Laurelhurst,801088844,
Laurelhurst,801592003,
Queen Anne,802705553,
Northgate,803228104,
Laurelhurst,803731558,
Laurelhurst,803731566,
Laurelhurst,804106940,
Laurelhurst,805002707,
Phinney-Greenwood,805002863,
Phinney-Greenwood,805063145,
Central District,805070761,
Phinney-Greenwood,805078517,
Central District,807528692,
Ravenna,807606154,
Columbia City,809327589,
Columbia City,810940124,
Northgate,810942526,
Northgate,811225984,
Laurelhurst,811803910,
Queen Anne,812004213,
Northgate,812531035,
Ravenna,812532619,
Northgate,812534050,
Northgate,812545591,
Laurelhurst,812550757,
Northgate,812589580,
Phinney-Greenwood,812975405,
Laurelhurst,812982444,
Northgate,812988132,
Columbia City,813821495,
Queen Anne,819301558,
Northgate,819310883,
Central District,821763075,
Northgate,822536226,
Laurelhurst,822935899,
Phinney-Greenwood,823009807,
Columbia City,823073904,
Phinney-Greenwood,823409961,
Queen Anne,824813898,
Northgate,825631432,
Laurelhurst,843104287,
Phinney-Greenwood,849793203,
Northgate,849945437,
Phinney-Greenwood,864422695,
Phinney-Greenwood,865714010,
Phinney-Greenwood,865715580,
Northgate,865733031,
Northgate,867169796,
Phinney-Greenwood,870022385,
Northgate,871131633,
Laurelhurst,871136791,
Laurelhurst,875962130,
Columbia City,880890223,
Northgate,881390100,
Northgate,881390100,
Central District,881848093,
Columbia City,883490390,
Northgate,892042923,
Northgate,892042931,
Northgate,892967838,
Ravenna,895590069,
Laurelhurst,912365854,
Ravenna,913990795,
Northgate,914602160,
Northgate,914671030,
Northgate,914671332,
Phinney-Greenwood,916773582,
Ravenna,929005503,
Phinney-Greenwood,930031180,
Northgate,930452895,
Phinney-Greenwood,933160135,
Northgate,933585179,
Central District,934165149,
Montlake,935699120,
Montlake,936662018,
Montlake,940242133,
Phinney-Greenwood,957576218,
Montlake,963608894,
Central District,963801600,
Central District,964729237,
Phinney-Greenwood,965098885,
Columbia City,967509912,
Phinney-Greenwood,970851014,
Ravenna,971880174,
Northgate,980198607,
Ravenna,982442866,
Columbia City,983263302,
Columbia City,984103228,
Northgate,984323333,
Northgate,984323333,
Northgate,984527818,
Northgate,988667940,
Phinney-Greenwood,991678230,
Ravenna,993161707,
Queen Anne,999745468,
Ravenna,1101885289,
Ravenna,1101906529,
Columbia City,1101971061,
Phinney-Greenwood,1101984031,
Ravenna,1101984279,
Phinney-Greenwood,1250045886,
Ravenna,1250158958,
Laurelhurst,1258421488,
Queen Anne,1338053590,
Laurelhurst,1400031400,
Phinney-Greenwood,1400046793,
Queen Anne,1400061164,
Queen Anne,1400062586,
Montlake,1400062594,
Ravenna,1400079152,
Phinney-Greenwood,1400322138,
Montlake,1401359485,
Central District,1402717954,
Northgate,1408856662,
Phinney-Greenwood,1412080711,
Columbia City,1416531742,
Montlake,1416571302,
Montlake,1416927832,
Northgate,1416939644,
Columbia City,1423101480,
Columbia City,1423101499,
Columbia City,1423103343,
Phinney-Greenwood,1423110668,
Ravenna,1435134486,
Central District,1439171017,
Laurelhurst,1439828652,
Columbia City,1441303529,
Northgate,1442214198,
Northgate,1442412917,
Queen Anne,1450884539,
Central District,1451628692,
Northgate,1451668929,
Central District,1455521159,
Ravenna,1455526118,
Northgate,1455559547,
Phinney-Greenwood,1465422692,
Northgate,1475055382,
Columbia City,1476748454,
Queen Anne,1477805141,
Columbia City,1481428144,
Queen Anne,1481438387,
Phinney-Greenwood,1483415341,
Northgate,1484715578,
Queen Anne,1484721519,
Phinney-Greenwood,1484725867,
Montlake,1492722332,
Ravenna,1501124714,
Northgate,1501169653,
Laurelhurst,1501171585,
Columbia City,1501188887,
Columbia City,1501198270,
Laurelhurst,1503214133,
Phinney-Greenwood,1538711796,
Phinney-Greenwood,1539986268,
Columbia City,1551522438,
Ravenna,1551665514,
Northgate,1556113447,
Phinney-Greenwood,1558321527,
Phinney-Greenwood,1558321950,
Queen Anne,1559584904,
Northgate,1559704012,
Central District,1562476688,
Queen Anne,1563054426,
Columbia City,1564143988,
Columbia City,1564144992,
Northgate,1564785890,
Northgate,1564786242,
Columbia City,1566190959,
Laurelhurst,1567318797,
Columbia City,1568985630,
Central District,1570612579,
Central District,1576737160,
Laurelhurst,1579548571,
Columbia City,1580086012,
Phinney-Greenwood,1582431256,
Northgate,1583218122,
Northgate,1584691638,
Northgate,1585364606,
Phinney-Greenwood,1585422762,
Phinney-Greenwood,1585677396,
Phinney-Greenwood,1586104802,
Ravenna,1588164802,
Northgate,1590178092,
Ravenna,1590304497,
Queen Anne,1591828147,
Montlake,1591845858,
Phinney-Greenwood,1592574696,
Northgate,1593690614,
Phinney-Greenwood,1594634629,
Montlake,1595141871,
Northgate,1596915439,
Ravenna,1597890332,
Phinney-Greenwood,1599953137,
Central District,1601272928,
Montlake,1602393281,
Ravenna,1603090576,
Ravenna,1603090851,
Central District,1607103214,
Northgate,1609450043,
Northgate,1609450078,
Northgate,1609450485,
Northgate,1609451899,
Northgate,1609807421,
Central District,1609808843,
Columbia City,1610671236,
Northgate,1616081155,
Northgate,1619613484,
Central District,1626191409,
Montlake,1626549435,
Phinney-Greenwood,1628727578,
Queen Anne,1717986986,
Phinney-Greenwood,1732573808,
Ravenna,1797701347,
Phinney-Greenwood,1843102420,
Northgate,1844676110,
Northgate,1852422629,
Montlake,1852429712,
Laurelhurst,1857594800,
Queen Anne,1857985907,
Northgate,1869611381,
Northgate,1878405624,
Phinney-Greenwood,1890694398,
Northgate,1893103188,
Phinney-Greenwood,1897164157,
Northgate,1899344934,
Montlake,1900518422,
Phinney-Greenwood,1931499691,
Laurelhurst,1935313339,
Northgate,1942078013,
Columbia City,1982100702,
Columbia City,1982103191,
Columbia City,1982103302,
Montlake,2842774108,
Montlake,3829003676,
Montlake,3829003684,
Montlake,3829003773,
Montlake,3829016220,
Montlake,3829016239,
Phinney-Greenwood,6071420059,
Ravenna,7671400750,
Northgate,8186895337,
Queen Anne,9707830344,
Montlake,9954046658,
Central District,9.78E+12,
Phinney-Greenwood,9.78E+12,
Laurelhurst,9.78002E+12,
Phinney-Greenwood,9.78006E+12,
Montlake,9.78006E+12,
Queen Anne,9.78006E+12,
Phinney-Greenwood,9.78006E+12,
Phinney-Greenwood,9.78006E+12,
Queen Anne,9.78006E+12,
Phinney-Greenwood,9.78006E+12,
Queen Anne,9.78006E+12,
Ravenna,9.78006E+12,
Ravenna,9.78007E+12,
Columbia City,9.78014E+12,
Phinney-Greenwood,9.78014E+12,
Northgate,9.78014E+12,
Central District,9.78031E+12,
Queen Anne,9.78031E+12,
Ravenna,9.78031E+12,
Central District,9.78031E+12,
Laurelhurst,9.78031E+12,
Phinney-Greenwood,9.78031E+12,
Central District,9.78031E+12,
Laurelhurst,9.78031E+12,
Ravenna,9.78031E+12,
Montlake,9.78031E+12,
Laurelhurst,9.78032E+12,
Queen Anne,9.78032E+12,
Phinney-Greenwood,9.78032E+12,
Laurelhurst,9.78032E+12,
Columbia City,9.78032E+12,
Northgate,9.78033E+12,
Northgate,9.78035E+12,
Queen Anne,9.78035E+12,
Ravenna,9.78037E+12,
Ravenna,9.78037E+12,
Columbia City,9.78037E+12,
Ravenna,9.78038E+12,
Laurelhurst,9.78038E+12,
Queen Anne,9.78038E+12,
Central District,9.78038E+12,
Central District,9.78039E+12,
Northgate,9.78039E+12,
Columbia City,9.78039E+12,
Northgate,9.78039E+12,
Laurelhurst,9.7804E+12,
Phinney-Greenwood,9.7804E+12,
Montlake,9.7804E+12,
Northgate,9.7804E+12,
Columbia City,9.78043E+12,
Queen Anne,9.78043E+12,
Queen Anne,9.78043E+12,
Central District,9.78044E+12,
Phinney-Greenwood,9.78044E+12,
Queen Anne,9.78044E+12,
Columbia City,9.78044E+12,
Phinney-Greenwood,9.78044E+12,
Ravenna,9.78044E+12,
