#Caste is Not a Rumour: The Online Diary of Rohith Vemula,Rohith Vemula,https://www.goodreads.com/author/show/15609828.Rohith_Vemula,3.97,34,https://goodreads.com/book/show/31443092-caste-is-not-a-rumour
"A Night of Southern Comfort (The Boys are Back in Town, #1)",Robin Covington,https://www.goodreads.com/author/show/5812874.Robin_Covington,3.93,2002,https://goodreads.com/book/show/18249860-a-night-of-southern-comfort
"A Princess in Theory (Reluctant Royals, #1)",Alyssa Cole,https://www.goodreads.com/author/show/7790155.Alyssa_Cole,3.8,9561,https://goodreads.com/book/show/35271238-a-princess-in-theory
"A Princess in Theory (Reluctant Royals, #1)",Alyssa Cole,https://www.goodreads.com/author/show/7790155.Alyssa_Cole,3.8,9555,https://goodreads.com/book/show/35271238-a-princess-in-theory
A River in Darkness: One Man's Escape from North Korea,Masaji Ishikawa,https://www.goodreads.com/author/show/16612158.Masaji_Ishikawa,4.27,36671,https://goodreads.com/book/show/35404398-a-river-in-darkness
A Royal Wedding,Jeevani Charika,https://www.goodreads.com/author/show/17946460.Jeevani_Charika,3.73,232,https://goodreads.com/book/show/40093357-a-royal-wedding
A Seal Upon Your Heart,Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,4.18,629,https://goodreads.com/book/show/17284414-a-seal-upon-your-heart
A Small Place,Jamaica Kincaid,https://www.goodreads.com/author/show/39237.Jamaica_Kincaid,3.96,8475,https://goodreads.com/book/show/69711.A_Small_Place
"A Spy in the House (The Agency, #1)",Y.S. Lee,https://www.goodreads.com/author/show/2868833.Y_S_Lee,3.78,13853,https://goodreads.com/book/show/6698199-a-spy-in-the-house
A Stranger in Olondria,Sofia Samatar,https://www.goodreads.com/author/show/5258016.Sofia_Samatar,3.68,2021,https://goodreads.com/book/show/12814333-a-stranger-in-olondria
"A Suitable Boy (A Suitable Boy, #1)",Vikram Seth,https://www.goodreads.com/author/show/28345.Vikram_Seth,4.11,40905,https://goodreads.com/book/show/50365.A_Suitable_Boy
A Sweet Mess,Jayci Lee,https://www.goodreads.com/author/show/19450142.Jayci_Lee,3.65,274,https://goodreads.com/book/show/51164758-a-sweet-mess
A Sweet Mess,Jayci Lee,https://www.goodreads.com/author/show/19450142.Jayci_Lee,3.65,274,https://goodreads.com/book/show/51164758-a-sweet-mess
A Tailor-Made Romance,Sadie Finney,https://www.goodreads.com/author/show/7009549.Sadie_Finney,3.83,12,https://goodreads.com/book/show/28960265-a-tailor-made-romance
A Tale for the Time Being,Ruth Ozeki,https://www.goodreads.com/author/show/7825.Ruth_Ozeki,4.01,80742,https://goodreads.com/book/show/18079728-a-tale-for-the-time-being
"A Taste of Crimson (Crimson City, #2)",Marjorie M. Liu,https://www.goodreads.com/author/show/35022.Marjorie_M_Liu,3.89,1468,https://goodreads.com/book/show/93483.A_Taste_of_Crimson
A Taste of Love,Sifa Asani Gowon,https://www.goodreads.com/author/show/7438180.Sifa_Asani_Gowon,3.27,11,https://goodreads.com/book/show/24263554-a-taste-of-love
A Thousand Miles to Freedom: My Escape from North Korea,Eunsun Kim,https://www.goodreads.com/author/show/6550480.Eunsun_Kim,3.9,4652,https://goodreads.com/book/show/28574298-a-thousand-miles-to-freedom
A Thousand Splendid Suns,Khaled Hosseini,https://www.goodreads.com/author/show/569.Khaled_Hosseini,4.37,1111,https://goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
A Tiger in the Kitchen: A Memoir of Food and Family,Cheryl Lu-Lien Tan,https://www.goodreads.com/author/show/4194547.Cheryl_Lu_Lien_Tan,3.53,929,https://goodreads.com/book/show/8864634-a-tiger-in-the-kitchen
A Time for Loving,Nico Jaye,https://www.goodreads.com/author/show/5840673.Nico_Jaye,3.82,66,https://goodreads.com/book/show/23296072-a-time-for-loving
A Time to Dance,Padma Venkatraman,https://www.goodreads.com/author/show/895265.Padma_Venkatraman,4.09,3197,https://goodreads.com/book/show/18263530-a-time-to-dance
"A Treasure of Gold (Migrations of the Heart, #3)",Piper Huguley,https://www.goodreads.com/author/show/8157342.Piper_Huguley,4.39,28,https://goodreads.com/book/show/26309952-a-treasure-of-gold
"A Wild Light (Hunter Kiss, #3)",Marjorie M. Liu,https://www.goodreads.com/author/show/35022.Marjorie_M_Liu,4.09,1815,https://goodreads.com/book/show/7196830-a-wild-light
"A Word With You, World: The Autobiography of a Poet",Siddalingaiah,https://www.goodreads.com/author/show/7578091.Siddalingaiah,4.64,14,https://goodreads.com/book/show/19545719-a-word-with-you-world
"A Wrong Turn Towards Love (Estill County Mountain Man, #2)",Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,3.83,517,https://goodreads.com/book/show/21468717-a-wrong-turn-towards-love
Abbott,Saladin Ahmed,https://www.goodreads.com/author/show/4025591.Saladin_Ahmed,4.03,1423,https://goodreads.com/book/show/38748572-abbott
Abnormal: Uncovered,L.S.  Bethel,https://www.goodreads.com/author/show/18765321.L_S_Bethel,4.5,4,https://goodreads.com/book/show/43481397-abnormal
