https://www.goodreads.com/list/show/96282._ReadPOC_List_of_Romance_Books_by_Authors_of_Color,,,,,
title,author,author_url,rating,voters_count,url
,,,,,
"Love, Hate & Other Filters",Samira Ahmed,https://www.goodreads.com/author/show/8345582.Samira_Ahmed,3.8,10482,https://goodreads.com/book/show/31207017-love-hate-other-filters
,,,,,
"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,https://www.goodreads.com/author/show/16642745.Tomi_Adeyemi,4.14,130670,https://goodreads.com/book/show/34728667-children-of-blood-and-bone
,,,,,
"A Bollywood Affair (Bollywood, #1)",Sonali Dev,https://www.goodreads.com/author/show/7025918.Sonali_Dev,3.71,5630,https://goodreads.com/book/show/17707787-a-bollywood-affair
,,,,,
We'll Never Be Apart,Emiko Jean,https://www.goodreads.com/author/show/8178238.Emiko_Jean,3.87,2464,https://goodreads.com/book/show/22010129-we-ll-never-be-apart
,,,,,
Bloodchild and Other Stories,Octavia E. Butler,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,4.33,12412,https://goodreads.com/book/show/60930.Bloodchild_and_Other_Stories
,,,,,
Faces and Masks,Eduardo Galeano,https://www.goodreads.com/author/show/5822041.Eduardo_Galeano,4.43,996,https://goodreads.com/book/show/403870.Faces_and_Masks
,,,,,
The Best of All Possible Worlds,Karen Lord,https://www.goodreads.com/author/show/3124999.Karen_Lord,3.59,4113,https://goodreads.com/book/show/15743440-the-best-of-all-possible-worlds
,,,,,
Sister of My Heart,Chitra Banerjee Divakaruni,https://www.goodreads.com/author/show/51589.Chitra_Banerjee_Divakaruni,3.99,17832,https://goodreads.com/book/show/8331268-sister-of-my-heart
,,,,,
Coming Home: How Black Americans Will Re-Elect Trump,Vernon Robinson III,https://www.goodreads.com/author/show/19770983.Vernon_Robinson_III,5,2,https://goodreads.com/book/show/48985789-coming-home
,,,,,
Growing Up Asian in Australia,Alice Pung,https://www.goodreads.com/author/show/576550.Alice_Pung,3.55,790,https://goodreads.com/book/show/19219657-growing-up-asian-in-australia
,,,,,
"The Everlasting Rose (The Belles, #2)",Dhonielle Clayton,https://www.goodreads.com/author/show/7359319.Dhonielle_Clayton,3.56,4190,https://goodreads.com/book/show/39080472-the-everlasting-rose
,,,,,
"Sassafrass, Cypress & Indigo",Ntozake Shange,https://www.goodreads.com/author/show/32677.Ntozake_Shange,4.13,2936,https://goodreads.com/book/show/234934.Sassafrass_Cypress_Indigo
,,,,,
Stories of Your Life and Others,Ted Chiang,https://www.goodreads.com/author/show/130698.Ted_Chiang,4.26,58391,https://goodreads.com/book/show/8130318-stories-of-your-life-and-others
,,,,,
Stay with Me,Ayọ̀bámi Adébáyọ̀,https://www.goodreads.com/author/show/13490756.Ay_ba_mi_Ade_ba_y_,4.04,34200,https://goodreads.com/book/show/32969150-stay-with-me
,,,,,
Kindred,Octavia E. Butler,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,4.25,88179,https://goodreads.com/book/show/60931.Kindred
,,,,,
Mixed: An Anthology of Short Fiction on the Multiracial Experience,Chandra Prasad,https://www.goodreads.com/author/show/207156.Chandra_Prasad,3.77,218,https://goodreads.com/book/show/361825.Mixed
,,,,,
"The Will to Change: Men, Masculinity, and Love",bell hooks,https://www.goodreads.com/author/show/10697.bell_hooks,4.35,3248,https://goodreads.com/book/show/17601.The_Will_to_Change
,,,,,
The Unquiet Dead (Rachel Getty & Esa Khattak #1),Ausma Zehanat Khan,https://www.goodreads.com/author/show/8326636.Ausma_Zehanat_Khan,3.84,2970,https://goodreads.com/book/show/22545465-the-unquiet-dead
,,,,,
Revolution Is Not a Dinner Party,Ying Chang Compestine,https://www.goodreads.com/author/show/80864.Ying_Chang_Compestine,3.93,1929,https://goodreads.com/book/show/791602.Revolution_Is_Not_a_Dinner_Party
,,,,,
Other Words for Home,Jasmine Warga,https://www.goodreads.com/author/show/7224009.Jasmine_Warga,4.47,7953,https://goodreads.com/book/show/35398627-other-words-for-home
,,,,,
Confessions,Kanae Minato,https://www.goodreads.com/author/show/6426380.Kanae_Minato,4.08,11304,https://goodreads.com/book/show/19161835-confessions
,,,,,
The Savage Detectives,Roberto Bolaño,https://www.goodreads.com/author/show/72039.Roberto_Bola_o,4.12,31402,https://goodreads.com/book/show/63033.The_Savage_Detectives
,,,,,
Heads of the Colored People,Nafissa Thompson-Spires,https://www.goodreads.com/author/show/16917879.Nafissa_Thompson_Spires,4.13,4770,https://goodreads.com/book/show/35297351-heads-of-the-colored-people
,,,,,
A Kind of Grace: The Autobiography of the World's Greatest Female Athlete,Jackie Joyner-Kersee,https://www.goodreads.com/author/show/137494.Jackie_Joyner_Kersee,4.01,73,https://goodreads.com/book/show/235044.A_Kind_of_Grace
,,,,,
Insurrecto,Gina Apostol,https://www.goodreads.com/author/show/296662.Gina_Apostol,3.53,824,https://goodreads.com/book/show/40237027-insurrecto
,,,,,
"Warchild (Warchild, #1)",Karin Lowachee,https://www.goodreads.com/author/show/107732.Karin_Lowachee,4.07,1981,https://goodreads.com/book/show/184786.Warchild
,,,,,
Letters to a Young Muslim,Omar Saif Ghobash,https://www.goodreads.com/author/show/15117588.Omar_Saif_Ghobash,4.11,1804,https://goodreads.com/book/show/29635593-letters-to-a-young-muslim
,,,,,
Hawaii's Story by Hawaii's Queen,Liliuokalani,https://www.goodreads.com/author/show/836307.Liliuokalani,3.85,805,https://goodreads.com/book/show/1830254.Hawaii_s_Story_by_Hawaii_s_Queen
,,,,,
The City We Became (Great Cities #1),N.K. Jemisin,https://www.goodreads.com/author/show/2917917.N_K_Jemisin,4.08,7492,https://goodreads.com/book/show/42074525-the-city-we-became
,,,,,
The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie,https://www.goodreads.com/author/show/4174.Sherman_Alexie,4.09,23469,https://goodreads.com/book/show/52873.The_Lone_Ranger_and_Tonto_Fistfight_in_Heaven
,,,,,
The Sea Is Ours: Tales from Steampunk Southeast Asia,Jaymee Goh,https://www.goodreads.com/author/show/4632659.Jaymee_Goh,3.82,250,https://goodreads.com/book/show/25362894-the-sea-is-ours
,,,,,
"Who Fears Death (Who Fears Death, #1)",Nnedi Okorafor,https://www.goodreads.com/author/show/588356.Nnedi_Okorafor,3.96,17031,https://goodreads.com/book/show/7767021-who-fears-death
,,,,,
Abbott,Saladin Ahmed,https://www.goodreads.com/author/show/4025591.Saladin_Ahmed,4.03,1423,https://goodreads.com/book/show/38748572-abbott
,,,,,
"The Devotion of Suspect X (Detective Galileo, #1)",Keigo Higashino,https://www.goodreads.com/author/show/117366.Keigo_Higashino,4.13,28974,https://goodreads.com/book/show/8686068-the-devotion-of-suspect-x
,,,,,
Like a Mule Bringing Ice Cream to the Sun,Sarah Ladipo Manyika,https://www.goodreads.com/author/show/2866203.Sarah_Ladipo_Manyika,3.87,1017,https://goodreads.com/book/show/27971013-like-a-mule-bringing-ice-cream-to-the-sun
,,,,,
"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,https://www.goodreads.com/author/show/634694.Kevin_Kwan,3.83,138239,https://goodreads.com/book/show/23720035-china-rich-girlfriend
,,,,,
Ordinary Beast,Nicole Sealey,https://www.goodreads.com/author/show/6894314.Nicole_Sealey,3.96,672,https://goodreads.com/book/show/33544908-ordinary-beast
,,,,,
