https://www.goodreads.com/list/show/96282._ReadPOC_List_of_Romance_Books_by_Authors_of_Color,,,,,
title,author,author_url,rating,voters_count,url
"A Wild Light (Hunter Kiss, #3)",Marjorie M. Liu,https://www.goodreads.com/author/show/35022.Marjorie_M_Liu,4.09,1815,https://goodreads.com/book/show/7196830-a-wild-light
,,,,,
"The Suffragette Scandal (Brothers Sinister, #4)",Courtney Milan,https://www.goodreads.com/author/show/2906892.Courtney_Milan,4.06,6903,https://goodreads.com/book/show/17343236-the-suffragette-scandal
,,,,,
"Within the Flames (Dirk & Steele, #11)",Marjorie M. Liu,https://www.goodreads.com/author/show/35022.Marjorie_M_Liu,4.05,905,https://goodreads.com/book/show/10609400-within-the-flames
,,,,,
"The Dragon and the Pearl (Tang Dynasty, #2)",Jeannie Lin,https://www.goodreads.com/author/show/3496825.Jeannie_Lin,3.74,644,https://goodreads.com/book/show/11170698-the-dragon-and-the-pearl
,,,,,
Fools Rush In,Gwynne Forster,https://www.goodreads.com/author/show/2517.Gwynne_Forster,4.19,110,https://goodreads.com/book/show/1069365.Fools_Rush_In
,,,,,
"Forbidden (Old West, #1)",Beverly Jenkins,https://www.goodreads.com/author/show/199260.Beverly_Jenkins,3.98,2872,https://goodreads.com/book/show/25760151-forbidden
,,,,,
Love on the Ledge (On the Verge #2),Zoraida Córdova,https://www.goodreads.com/author/show/4824952.Zoraida_C_rdova,3.82,217,https://goodreads.com/book/show/25073969-love-on-the-ledge
,,,,,
Wicked Surrender (Hollis Brothers Book 3),Linda Verji,https://www.goodreads.com/author/show/8281663.Linda_Verji,4.18,88,https://goodreads.com/book/show/29927794-wicked-surrender
,,,,,
"Shield of Winter (Psy-Changeling, #13)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.37,15324,https://goodreads.com/book/show/17159944-shield-of-winter
,,,,,
"He's Not My Boyfriend (Chin-Williams, #2)",Jackie  Lau,https://www.goodreads.com/author/show/17814757.Jackie_Lau,3.9,199,https://goodreads.com/book/show/41973978-he-s-not-my-boyfriend
,,,,,
"A Dance with Danger (Lovers and Rebels, #2; Tang Dynasty, #5)",Jeannie Lin,https://www.goodreads.com/author/show/3496825.Jeannie_Lin,3.79,152,https://goodreads.com/book/show/23522249-a-dance-with-danger
,,,,,
Composing Love,Audra North,https://www.goodreads.com/author/show/7377144.Audra_North,3.26,39,https://goodreads.com/book/show/23165878-composing-love
,,,,,
"His Convenient Husband (Love and Sports, #1)",Robin Covington,https://www.goodreads.com/author/show/5812874.Robin_Covington,3.59,488,https://goodreads.com/book/show/36158863-his-convenient-husband
,,,,,
"Tangle of Need (Psy-Changeling, #11)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.11,18381,https://goodreads.com/book/show/12059093-tangle-of-need
,,,,,
Unconditional (The Guardians: Book 1),D.M. Mortier,https://www.goodreads.com/author/show/9844820.D_M_Mortier,4.02,246,https://goodreads.com/book/show/26034516-unconditional
,,,,,
Milo,Kaye Blue,https://www.goodreads.com/author/show/9707264.Kaye_Blue,3.55,103,https://goodreads.com/book/show/40320329-milo
,,,,,
Endless Love (Soul Brothers #1),D.M. Mortier,https://www.goodreads.com/author/show/9844820.D_M_Mortier,4.12,124,https://goodreads.com/book/show/23534128-endless-love
,,,,,
"The Unleashing (Call of Crows, #1)",Shelly Laurenston,https://www.goodreads.com/author/show/65137.Shelly_Laurenston,3.88,9204,https://goodreads.com/book/show/22475781-the-unleashing
,,,,,
Love Intertwined Vol.1,Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,4.16,166,https://goodreads.com/book/show/15841657-love-intertwined-vol-1
,,,,,
"Scoring With the Wrong Twin (WAGS, #1)",Naima Simone,https://www.goodreads.com/author/show/3232449.Naima_Simone,3.81,812,https://goodreads.com/book/show/36595219-scoring-with-the-wrong-twin
,,,,,
The Arrangement (Hot Latin Men #1),Delaney Diamond,https://www.goodreads.com/author/show/4416767.Delaney_Diamond,3.95,1079,https://goodreads.com/book/show/18809379-the-arrangement
,,,,,
The Blind Date (Love Unexpected #1),Delaney Diamond,https://www.goodreads.com/author/show/4416767.Delaney_Diamond,3.77,1657,https://goodreads.com/book/show/18372555-the-blind-date
,,,,,
Love Me Deadly,Linda Verji,https://www.goodreads.com/author/show/8281663.Linda_Verji,3.92,48,https://goodreads.com/book/show/25211111-love-me-deadly
,,,,,
"To Love a Scandalous Duke (Once Upon a Scandal, #1)",Liana De la Rosa,https://www.goodreads.com/author/show/14232265.Liana_De_la_Rosa,4.11,120,https://goodreads.com/book/show/36119952-to-love-a-scandalous-duke
,,,,,
"True's Love (Estill County Mountain Man, #3)",Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,4.03,322,https://goodreads.com/book/show/30956753-true-s-love
,,,,,
"The Duchess War (Brothers Sinister, #1)",Courtney Milan,https://www.goodreads.com/author/show/2906892.Courtney_Milan,3.82,21729,https://goodreads.com/book/show/13489919-the-duchess-war
,,,,,
Adaptation (Adaptation #1),Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,4.27,529,https://goodreads.com/book/show/22815321-adaptation
,,,,,
"Soul Song (Dirk and Steele,  #6)",Marjorie M. Liu,https://www.goodreads.com/author/show/35022.Marjorie_M_Liu,3.91,1823,https://goodreads.com/book/show/93489.Soul_Song
,,,,,
"In Too Deep (Liliana, #2)",Neva Squires-Rodriguez,https://www.goodreads.com/author/show/8507331.Neva_Squires_Rodriguez,4.39,23,https://goodreads.com/book/show/23783832-in-too-deep
,,,,,
Playing the Rookie (Men of Spring Baseball #0.5),Rachelle Ayala,https://www.goodreads.com/author/show/5753921.Rachelle_Ayala,3.58,138,https://goodreads.com/book/show/23156077-playing-the-rookie
,,,,,
"The Last Twilight (Dirk & Steele, #7)",Marjorie M. Liu,https://www.goodreads.com/author/show/35022.Marjorie_M_Liu,4.01,1567,https://goodreads.com/book/show/1931351.The_Last_Twilight
,,,,,
The Marriage Contract (Motor City Romance Book 1),Danie Ford,https://www.goodreads.com/author/show/17132186.Danie_Ford,3.5,4,https://goodreads.com/book/show/36247782-the-marriage-contract
,,,,,
"Love Discovered in New York (The Washington Triplets, #1)",Danielle Allen,https://www.goodreads.com/author/show/6523680.Danielle_Allen,3.92,198,https://goodreads.com/book/show/22853418-love-discovered-in-new-york
,,,,,
The One In My Heart,Sherry Thomas,https://www.goodreads.com/author/show/266470.Sherry_Thomas,3.87,1087,https://goodreads.com/book/show/25012983-the-one-in-my-heart
,,,,,
"Archangel's Enigma (Guild Hunter, #8)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.43,14776,https://goodreads.com/book/show/17409842-archangel-s-enigma
,,,,,
"Breaking All the Rules (D.A.R.K., Inc. Book 1)",Aliyah Burke,https://www.goodreads.com/author/show/263660.Aliyah_Burke,3.9,58,https://goodreads.com/book/show/39866476-breaking-all-the-rules
,,,,,
The Arrangement,Sonya Lalli,https://www.goodreads.com/author/show/16831695.Sonya_Lalli,3.36,4175,https://goodreads.com/book/show/35097525-the-arrangement
,,,,,
"Rebel Hard (Hard Play, #2)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.07,3102,https://goodreads.com/book/show/41017340-rebel-hard
,,,,,
"A Princess in Theory (Reluctant Royals, #1)",Alyssa Cole,https://www.goodreads.com/author/show/7790155.Alyssa_Cole,3.8,9555,https://goodreads.com/book/show/35271238-a-princess-in-theory
,,,,,
The Elevator Kiss,Amina Thula,https://www.goodreads.com/author/show/10787840.Amina_Thula,3.7,27,https://goodreads.com/book/show/24165321-the-elevator-kiss
,,,,,
"Inked (Terra Sempre Saga, #2)",Chris  Ledbetter,https://www.goodreads.com/author/show/6926810.Chris_Ledbetter,4.62,8,https://goodreads.com/book/show/28937728-inked
,,,,,
Kindred,Octavia E. Butler,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,4.25,88165,https://goodreads.com/book/show/60931.Kindred
,,,,,
Babygirl and the Mean Boss,Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,3.86,973,https://goodreads.com/book/show/15790259-babygirl-and-the-mean-boss
,,,,,
Tailor-Made,Yolanda Wallace,https://www.goodreads.com/author/show/3284106.Yolanda_Wallace,3.67,205,https://goodreads.com/book/show/35066669-tailor-made
,,,,,
Whole Latte Love,Rachelle Ayala,https://www.goodreads.com/author/show/5753921.Rachelle_Ayala,4.15,85,https://goodreads.com/book/show/21488097-whole-latte-love
,,,,,
"Branded by Fire (Psy-Changeling, #6)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.3,26546,https://goodreads.com/book/show/5628753-branded-by-fire
,,,,,
"The Gravity of Us (Elements, #4)",Brittainy C. Cherry,https://www.goodreads.com/author/show/7121791.Brittainy_C_Cherry,4.41,20106,https://goodreads.com/book/show/32294951-the-gravity-of-us
,,,,,
"Song of Blood & Stone (Earthsinger Chronicles, #1)",L. Penelope,https://www.goodreads.com/author/show/9870934.L_Penelope,3.73,1627,https://goodreads.com/book/show/36347830-song-of-blood-stone
,,,,,
Her Perfect Affair (Matched to Perfection #2),Priscilla Oliveras,https://www.goodreads.com/author/show/16322252.Priscilla_Oliveras,3.57,190,https://goodreads.com/book/show/35638804-her-perfect-affair
,,,,,
"The Lotus Palace (The Pingkang Li Mysteries, #1)",Jeannie Lin,https://www.goodreads.com/author/show/3496825.Jeannie_Lin,3.77,1168,https://goodreads.com/book/show/17348286-the-lotus-palace
,,,,,
The Prostitute's Daughter (Because You Love Me #2),Adrienne D'nelle Ruvalcaba,https://www.goodreads.com/author/show/16454586.Adrienne_D_nelle_Ruvalcaba,4.04,52,https://goodreads.com/book/show/23014404-the-prostitute-s-daughter
,,,,,
Mine to Possess (Psy-Changeling #4),Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.11,25282,https://goodreads.com/book/show/1830755.Mine_to_Possess
,,,,,
"Tempest (Old West, #3)",Beverly Jenkins,https://www.goodreads.com/author/show/199260.Beverly_Jenkins,4.21,1545,https://goodreads.com/book/show/35068495-tempest
,,,,,
"Archangel's Shadows (Guild Hunter, #7)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.31,16412,https://goodreads.com/book/show/17409835-archangel-s-shadows
,,,,,
"Angels' Flight (Guild Hunter, #0.4, #0.6, #0.8, #3.5)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.33,12682,https://goodreads.com/book/show/9738582-angels-flight
,,,,,
"Empty Nests (Nested Hearts, #1)",Ada Maria Soto,https://www.goodreads.com/author/show/5321801.Ada_Maria_Soto,3.98,464,https://goodreads.com/book/show/25574200-empty-nests
,,,,,
Beast (Estill County Mountain Man #1),Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,4.2,3681,https://goodreads.com/book/show/16050911-beast
,,,,,
"Take the Lead (Dance Off, #1)",Alexis Daria,https://www.goodreads.com/author/show/14057528.Alexis_Daria,3.87,992,https://goodreads.com/book/show/35832861-take-the-lead
,,,,,
"Wrong to Need You (Forbidden Hearts, #2)",Alisha Rai,https://www.goodreads.com/author/show/2987418.Alisha_Rai,3.95,2696,https://goodreads.com/book/show/34217566-wrong-to-need-you
,,,,,
Daddy's Home (Firebacks #1),Linda Verji,https://www.goodreads.com/author/show/8281663.Linda_Verji,4.05,60,https://goodreads.com/book/show/22367804-daddy-s-home
,,,,,
"Grumpy Fake Boyfriend (Kwan Sisters, #1)",Jackie  Lau,https://www.goodreads.com/author/show/17814757.Jackie_Lau,3.44,665,https://goodreads.com/book/show/39247954-grumpy-fake-boyfriend
,,,,,
"A Gentleman in the Street (The Campbell Siblings, #1)",Alisha Rai,https://www.goodreads.com/author/show/2987418.Alisha_Rai,3.88,1192,https://goodreads.com/book/show/23569243-a-gentleman-in-the-street
,,,,,
Rebellion Book II: Book of Soung,Grea Alexander,https://www.goodreads.com/author/show/6604619.Grea_Alexander,4.27,15,https://goodreads.com/book/show/43797196-rebellion-book-ii
,,,,,
"The Trouble with Playing Cupid (Cupid, #1)",Tamara Philip,https://www.goodreads.com/author/show/8415755.Tamara_Philip,3.97,64,https://goodreads.com/book/show/22817757-the-trouble-with-playing-cupid
,,,,,
Lovers' Dance: Volume 2,K. Carr,https://www.goodreads.com/author/show/13954388.K_Carr,4.5,56,https://goodreads.com/book/show/31846803-lovers-dance
,,,,,
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,4.17,55238,https://goodreads.com/book/show/52397.Parable_of_the_Sower
,,,,,
"Serpentine (Serpentine, #1)",Cindy Pon,https://www.goodreads.com/author/show/2471183.Cindy_Pon,3.55,1091,https://goodreads.com/book/show/22095547-serpentine
,,,,,
"Play With Me (Bedroom Games, #1)",Alisha Rai,https://www.goodreads.com/author/show/2987418.Alisha_Rai,3.64,887,https://goodreads.com/book/show/17673159-play-with-me
,,,,,
"Everything is Everything (Everything, #1)",Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,4.23,213,https://goodreads.com/book/show/23256834-everything-is-everything
,,,,,
Short Soup,Coleen Kwan,https://www.goodreads.com/author/show/5210210.Coleen_Kwan,3.85,39,https://goodreads.com/book/show/16330647-short-soup
,,,,,
The Bridal Candidate 2,Linda Verji,https://www.goodreads.com/author/show/8281663.Linda_Verji,4.37,30,https://goodreads.com/book/show/31455771-the-bridal-candidate-2
,,,,,
"Never Over You Series Boxed Set (Never Over You, #1-3)",Ryleigh Andrews,https://www.goodreads.com/author/show/9471968.Ryleigh_Andrews,4.33,159,https://goodreads.com/book/show/27258504-never-over-you-series-boxed-set
,,,,,
"Cherish Hard (Hard Play, #1)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,3.88,4112,https://goodreads.com/book/show/36390029-cherish-hard
,,,,,
The One,Danielle Allen,https://www.goodreads.com/author/show/6523680.Danielle_Allen,4.14,642,https://goodreads.com/book/show/29325610-the-one
,,,,,
"What You Wanted (Chic Manila, #7)",Mina V. Esguerra,https://www.goodreads.com/author/show/3014313.Mina_V_Esguerra,3.99,93,https://goodreads.com/book/show/27614503-what-you-wanted
,,,,,
"Parable of the Talents (Earthseed, #2)",Octavia E. Butler,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,4.26,21221,https://goodreads.com/book/show/60932.Parable_of_the_Talents
,,,,,
Unexpectedly Yours,Coleen Kwan,https://www.goodreads.com/author/show/5210210.Coleen_Kwan,3.63,188,https://goodreads.com/book/show/28696561-unexpectedly-yours
,,,,,
Dressed for Success,Maggie Blackbird,https://www.goodreads.com/author/show/18176196.Maggie_Blackbird,4.62,8,https://goodreads.com/book/show/51157331-dressed-for-success
,,,,,
Wicked Intentions (Hollis Brothers Book 1),Linda Verji,https://www.goodreads.com/author/show/8281663.Linda_Verji,4.02,227,https://goodreads.com/book/show/23480312-wicked-intentions
,,,,,
Mine Forever: A Young Adult Romance,Skylar Nightingale,https://www.goodreads.com/author/show/8600436.Skylar_Nightingale,4.46,46,https://goodreads.com/book/show/48913916-mine-forever
,,,,,
"The Preacher's Promise (Home to Milford College, #1)",Piper Huguley,https://www.goodreads.com/author/show/8157342.Piper_Huguley,4.23,249,https://goodreads.com/book/show/22859849-the-preacher-s-promise
,,,,,
"Trade Me (Cyclone, #1)",Courtney Milan,https://www.goodreads.com/author/show/2906892.Courtney_Milan,3.76,4733,https://goodreads.com/book/show/23566506-trade-me
,,,,,
Visions of Heat (Psy-Changeling #2),Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.12,31491,https://goodreads.com/book/show/215643.Visions_of_Heat
,,,,,
