yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang
1996,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,Mys,English,English
1996,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,Mys,English,English
2006,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,Mys,English,English
2014,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,Mys,English,English
2004,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,Mys,English,English
2000,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,Mys,English,English
1993,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,Mys,English,English
2000,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,Mys,English,English
2011,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,Mys,English,English
2002,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,Mys,English,English
2000,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,Mys,English,English
2000,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,Mys,English,English
2005,1,1,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,Mys,English,English
2009,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,Mys,English,English
1994,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,Mys,English,English
1997,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,Mys,English,English
2014,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Mystery,Novel,Mys,English,English
1999,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Mystery,Null,Mys,English,English
1994,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Mystery,Null,Mys,English,English
2000,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Mystery,Null,Mys,English,English
1987,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Mystery,Null,Mys,English,English
2000,1,0,0,Ravenna,Ravenna5,Fiction,Adult,Mystery,Null,Mys,English,English
2012,1,0,0,Ravenna,Ravenna5,Fiction,Adult,Mystery,Null,Mys,English,English
1994,1,0,0,Ravenna,Ravenna5,Fiction,Adult,Mystery,Null,Mys,English,English
1995,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Mystery,Null,Mys,English,English
1995,1,0,0,Northgate,Northgate1,Fiction,Young Adult,Mystery,Null,Mys,English,English
2018,1,0,0,Northgate,Northgate5,Fiction,Young Adult,Mystery,Null,Mys,English,English
2002,1,0,0,Ravenna,Ravenna5,Fiction,Young Adult,Mystery,Null,Mys,English,English
2003,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Nature/Gardening,Null,Na,English,English
1993,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Nature/Gardening,Null,Na,English,English
2004,1,0,0,Laurelhurst,Laurelhurst2,Nonfiction,Adult,Nature/Gardening,Art,Na,English,English
2012,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Nature/Gardening,Null,Na,English,English
2013,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Nature/Gardening,Null,Na,English,English
1988,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,Na,English,English
1994,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,Na,English,English
1979,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,Na,English,English
1966,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Nature/Gardening,Null,Na,English,English
2005,1,0,0,Ravenna,Ravenna2,Nonfiction,Adult,Nature/Gardening,Null,Na,English,English
1970,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,
2008,1,0,0,Montlake,Montlake4,Fiction,Young Adult,Novel,Null,Nov,English,English
1968,1,0,0,Central District,CentralDistrict3,Fiction,Young Adult,Novel,Null,Nov,,
1958,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,Nov,,
2003,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,History,Nov,English,English
2005,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,English
1992,1,0,0,Central District,CentralDistrict1,Fiction,Adult,Novel,Null,Nov,English,English
2009,1,1,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,Nov,English,English
2018,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,Nov,English,English
1988,1,1,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,Nov,English,English
2011,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,Nov,English,English
2017,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,Nov,English,English
2009,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,Nov,English,English
1991,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,Nov,English,English
2010,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,Nov,English,English
1998,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,Nov,English,English
1999,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Novel,Null,Nov,English,English
2015,1,1,0,Central District,CentralDistrict6,Fiction,Adult,Novel,Null,Nov,English,English
2006,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Novel,Null,Nov,English,English
2013,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Novel,Null,Nov,English,English
2018,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,Novel,Null,Nov,English,English
2014,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Novel,History,Nov,English,English
1990,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Novel,Null,Nov,English,English
2008,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Novel,Null,Nov,English,English
2019,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Novel,Null,Nov,English,English
2019,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Novel,Null,Nov,English,English
1988,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Novel,History,Nov,English,English
2018,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Novel,Null,Nov,English,English
2017,1,1,0,Columbia City,ColumbiaCity3,Fiction,Adult,Novel,Null,Nov,English,English
2018,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Novel,Null,Nov,English,English
1993,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Novel,Null,Nov,"English, Achinese",English
1979,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Novel,Null,Nov,English,English
2009,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Novel,Null,Nov,English,English
2004,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Novel,Null,Nov,English,English
1988,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Novel,Null,Nov,English,English
2004,1,1,0,Laurelhurst,Laurelhurst3,Fiction,Adult,novel,Null,Nov,English,English
1997,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,History,Nov,English,English
2017,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,Null,Nov,English,English
2007,1,1,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,Null,Nov,English,English
1988,1,1,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,Null,Nov,English,English
1982,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,Null,Nov,English,English
2013,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,Null,Nov,English,English
1998,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Novel,Null,Nov,English,English
1996,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Novel,Null,Nov,English,English
1986,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Novel,Null,Nov,English,English
2014,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Novel,Null,Nov,English,English
2013,1,0,0,Laurelhurst,Laurelhurst6,Fiction,Adult,Novel,Null,Nov,English,English
1982,1,0,0,Laurelhurst,Laurelhurst6,Fiction,Adult,Novel,Null,Nov,English,English
1992,1,1,0,Montlake,Montlake4,Fiction,Adult,Novel,Cultural Studies,Nov,English,Arabic
2007,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,Nov,English,English
1998,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,Nov,English,English
1990,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,Nov,English,English
1990,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,Nov,English,English
2018,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Novel,Null,Nov,English,English
1995,1,1,0,Montlake,Montlake5,Fiction,Adult,Novel,History,Nov,English,English
2006,1,0,0,Montlake,Montlake5,Fiction,Adult,Novel,Null,Nov,English,English
1997,1,0,0,Montlake,Montlake5,Fiction,Adult,Novel,Null,Nov,English,English
2008,1,0,0,Montlake,Montlake5,Fiction,Adult,Novel,Null,Nov,English,English
2009,1,0,0,Montlake,Montlake6,Fiction,Adult,Novel,Null,Nov,English,English
1992,1,0,0,Montlake,Montlake6,Fiction,Adult,Novel,Null,Nov,English,English
1986,1,0,0,Montlake,Montlake6,Fiction,Adult,Novel,Null,Nov,English,English
1977,1,0,0,Northgate,Northgate1,Fiction,Adult,Novel,History,Nov,English,English
2008,1,0,0,Northgate,Northgate1,Fiction,Adult,Novel,Null,Nov,English,English
2011,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2003,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2010,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2017,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2017,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2000,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2016,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2012,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2014,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2014,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,,English
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2013,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
1992,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,Nov,English,English
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,History,Nov,English,English
2019,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,English
1998,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,English
2014,1,1,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,English
2005,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,English
1993,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,English
2010,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,English
2010,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,English
1987,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,English
2004,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,Nov,English,English
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Religion,Nov,English,English
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Religion,Nov,English,English
2015,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Religion,Nov,English,English
2000,1,0,0,Northgate,Northgate4,Fiction,Adult,Novel,Null,Nov,English,English
2004,1,1,0,Northgate,Northgate5,Fiction,Adult,Novel,Biography,Nov,English,English
2007,1,1,0,Northgate,Northgate5,Fiction,Adult,Novel,History,Nov,English,English
1998,1,0,0,Northgate,Northgate5,Fiction,Adult,Novel,History,Nov,English,English
2017,1,0,0,Northgate,Northgate5,Fiction,Adult,Novel,Null,Nov,English,English
2011,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,Nov,English,English
2017,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,Nov,English,English
1997,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,novel,Null,Nov,English,English
1987,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,Nov,English,English
2019,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,Nov,English,English
2017,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,Nov,English,English
2011,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,Nov,English,English
1988,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,Nov,English,English
2013,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,Nov,English,English
1996,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,Nov,English,English
2010,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2007,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2013,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
1998,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2007,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
1996,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2011,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2004,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2014,1,1,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,Nov,English,English
2014,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2004,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2012,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2010,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2006,1,1,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
1999,1,1,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2005,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2009,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,Nov,English,English
2018,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Novel,Null,Nov,English,English
1987,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,Nov,English,English
2018,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,Nov,English,English
2012,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,Nov,English,English
2013,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,Nov,English,English
1987,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,Nov,English,English
2014,1,0,0,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,Nov,English,English
1984,1,0,0,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,Nov,English,English
1984,1,0,0,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,Nov,English,English
1999,1,0,0,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,Nov,English,English
2018,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Novel,Null,Nov,English,English
2004,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Novel,Null,Nov,English,English
2001,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,novel,Null,Nov,English,English
2009,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Novel,Null,Nov,English,English
2008,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Null,Nov,English,English
2002,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Null,Nov,English,English
1996,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Null,Nov,English,English
2000,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Religion,Nov,English,English
1998,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Novel,Null,Nov,English,English
2011,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Novel,Null,Nov,English,English
2018,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Novel,Null,Nov,English,English
1976,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Novel,Null,Nov,English,English
1976,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Novel,Null,Nov,English,English
2005,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,Nov,English,English
2016,1,1,0,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,Nov,English,English
2005,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,Nov,English,English
1998,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,Nov,English,English
1998,1,1,0,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,Nov,English,English
2016,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Novel,Null,Nov,English,English
1990,1,1,0,Ravenna,Ravenna3,Fiction,Adult,Novel,Null,Nov,English,Japanese
2009,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Novel,Null,Nov,English,English
2008,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Novel,Null,Nov,English,English
2017,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Novel,Null,Nov,English,English
2015,1,1,0,Ravenna,Ravenna5,Fiction,Adult,Novel,Religion,Nov,English,English
2012,1,0,0,Ravenna,Ravenna5,Fiction,Adult,Novel,Null,Nov,English,English
2017,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,Nov,English,English
2015,1,1,0,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,Nov,English,English
2017,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,Nov,English,English
2007,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,Nov,English,English
2011,1,0,0,Columbia City,ColumbiaCity3,Fiction,Young Adult,Novel,Null,Nov,English,English
2014,1,1,0,Columbia City,ColumbiaCity3,Fiction,Young Adult,Novel,Null,Nov,English,English
2014,1,1,0,Columbia City,ColumbiaCity3,Fiction,Young Adult,Novel,Null,Nov,English,English
2017,1,0,0,Columbia City,ColumbiaCity4,Fiction,Young Adult,Novel,Null,Nov,English,English
2011,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Young Adult,novel,Null,Nov,English,English
1988,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Young Adult,Novel,Null,Nov,English,English
1985,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Young Adult,Novel,Null,Nov,English,English
2015,1,0,0,Montlake,Montlake6,Fiction,Young Adult,Novel,Null,Nov,English,English
2015,1,1,0,Northgate,Northgate2,Fiction,Young Adult,Novel,Null,Nov,English,English
1961,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Young Adult,Novel,Null,Nov,English,
1992,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Young Adult,Novel,Null,Nov,English,
1999,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Young Adult,Novel,Null,Nov,English,English
1990,1,1,0,Phinney-Greenwood,Phinney-Green4,Fiction,Young Adult,Novel,Null,Nov,English,English
1991,1,0,0,Queen Anne,QueenAnne1,Fiction,Young Adult,Novel,Null,Nov,English,English
2018,1,0,0,Queen Anne,QueenAnne3,Fiction,Young Adult,Novel,Null,Nov,English,English
2009,1,0,0,Ravenna,Ravenna2,Fiction,Young Adult,Novel,Null,Nov,English,English
2009,1,0,0,Ravenna,Ravenna2,Fiction,Young Adult,Novel,Null,Nov,English,English
2012,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,Nu,English,English
1964,1,0,1,Northgate,Northgate4,Nonfiction,Childrens,Null,Null,Nu,English,
2000,1,0,0,Northgate,Northgate1,Nonfiction,Childrens,Null,Null,Nu,English,English
2005,1,0,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,Nu,English,English
2014,1,0,1,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,Nu,English,
2011,1,0,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,Nu,English,English
1998,1,0,0,Central District,CentralDistrict3,Nonfiction,Childrens,Null,Self Help/Health,Nu,English,English
2002,1,0,0,Central District,CentralDistrict3,Nonfiction,Childrens,Null,Null,Nu,English,English
2008,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,Nu,English,English
1997,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,Nu,English,English
2007,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,Nu,English,English
2006,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,Nu,English,English
1986,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,Nu,English,English
2010,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,Nu,English,English
2011,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,Nu,English,English
1981,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,Nu,English,English
2008,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,Nu,English,English
1981,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,Nu,,English
1990,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,Nu,English,English
2006,1,0,0,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,Nu,English,English
1982,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Childrens,Null,Null,Nu,English,English
2006,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Childrens,Null,Null,Nu,English,English
1990,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Childrens,Null,Null,Nu,English,English
1986,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Childrens,Null,Null,Nu,English,English
1989,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Childrens,Null,Null,Nu,English,English
2005,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,Nu,English,English
2002,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,Nu,English,English
2007,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,Nu,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,Nu,English,English
1978,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,Nu,English,English
1988,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,Nu,English,English
2008,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,Nu,English,English
2004,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Childrens,Null,Null,Nu,English,English
2000,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Childrens,Null,Null,Nu,English,English
1988,1,0,0,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,Nu,English,English
2018,1,0,0,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,Nu,English,English
2016,1,0,0,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,Nu,English,English
1997,1,0,0,Queen Anne,QueenAnne4,Fiction,Childrens,Null,Null,Nu,English,English
1988,1,0,0,Queen Anne,QueenAnne4,Fiction,Childrens,Null,Null,Nu,English,English
2013,1,0,0,Queen Anne,QueenAnne5,Fiction,Childrens,Null,Null,Nu,English,English
1988,1,0,0,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,Nu,English,English
2000,1,0,0,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,Nu,English,English
2018,1,0,0,Ravenna,Ravenna1,Fiction,Childrens,Null,Null,Nu,English,English
2010,1,0,0,Ravenna,Ravenna3,Fiction,Childrens,Null,Null,Nu,English,English
2007,1,0,0,Ravenna,Ravenna3,Fiction,Childrens,Null,Null,Nu,English,English
2009,1,0,0,Ravenna,Ravenna4,Fiction,Childrens,Null,Null,Nu,English,English
2007,1,0,0,Ravenna,Ravenna4,Fiction,Childrens,Null,Null,Nu,English,English
2012,1,0,0,Ravenna,Ravenna4,Fiction,Childrens,Null,Null,Nu,English,English
2009,1,0,0,Ravenna,Ravenna4,Fiction,Childrens,Null,Null,Nu,English,English
2009,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,Nu,English,English
2002,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,Nu,English,English
1997,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,Nu,English,English
2004,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,Nu,English,English
2005,1,0,0,Central District,CentralDistrict3,Nonfiction,Childrens,Null,Null,Nu,English,English
2013,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,Nu,English,English
1999,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,Nu,English,English
2005,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,Nu,,English
2011,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,Nu,English,English
2006,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,Nu,English,English
1997,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,Nu,English,English
1982,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,Nu,,
2000,1,0,0,Central District,CentralDistrict4,Nonfiction,Childrens,Null,Null,Nu,English,English
1999,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,Nu,German,German
2013,1,0,0,Columbia City,ColumbiaCity1,Fiction,Childrens,Null,Null,Nu,English,English
