Central District,Columbia City,Laurelhurst,Montlake,Northgate,Phinney-Greenwood,Queen Anne,Ravenna
0.043010752688172046,0.046511627906976744,0.01098901098901099,0.012345679012345678,0.02074688796680498,0.010471204188481676,0.018691588785046728,0.008064516129032258
0.010752688172043012,0.023255813953488372,0.01098901098901099,0.037037037037037035,0.004149377593360996,0.0,0.0,0.0
0.07526881720430108,0.06976744186046512,0.03296703296703297,0.04938271604938271,0.03319502074688797,0.020942408376963352,0.037383177570093455,0.024193548387096774
0.010752688172043012,0.023255813953488372,0.0,0.024691358024691357,0.008298755186721992,0.005235602094240838,0.0,0.0
0.22580645161290322,0.1744186046511628,0.21978021978021978,0.037037037037037035,0.31950207468879666,0.2931937172774869,0.308411214953271,0.1532258064516129
0.0,0.023255813953488372,0.01098901098901099,0.0,0.008298755186721992,0.0,0.028037383177570093,0.016129032258064516
0.0,0.046511627906976744,0.04395604395604396,0.25925925925925924,0.008298755186721992,0.005235602094240838,0.018691588785046728,0.016129032258064516
0.010752688172043012,0.0,0.0,0.012345679012345678,0.03734439834024896,0.010471204188481676,0.0,0.0
0.043010752688172046,0.046511627906976744,0.03296703296703297,0.0,0.02074688796680498,0.020942408376963352,0.06542056074766354,0.016129032258064516
0.0,0.011627906976744186,0.0,0.0,0.016597510373443983,0.010471204188481676,0.009345794392523364,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.008064516129032258
0.053763440860215055,0.046511627906976744,0.02197802197802198,0.024691358024691357,0.016597510373443983,0.031413612565445025,0.0,0.04032258064516129
0.0,0.011627906976744186,0.0,0.0,0.008298755186721992,0.0,0.0,0.008064516129032258
0.07526881720430108,0.03488372093023256,0.14285714285714285,0.07407407407407407,0.06224066390041494,0.07853403141361257,0.08411214953271028,0.1693548387096774
0.021505376344086023,0.0,0.02197802197802198,0.012345679012345678,0.016597510373443983,0.0,0.0,0.008064516129032258
0.16129032258064516,0.18604651162790697,0.18681318681318682,0.19753086419753085,0.16597510373443983,0.20418848167539266,0.19626168224299065,0.16129032258064516
0.0,0.0,0.0,0.024691358024691357,0.0,0.010471204188481676,0.0,0.016129032258064516
0.0,0.011627906976744186,0.0,0.012345679012345678,0.016597510373443983,0.0,0.0,0.0
0.053763440860215055,0.023255813953488372,0.01098901098901099,0.0,0.04149377593360996,0.010471204188481676,0.0,0.008064516129032258
0.021505376344086023,0.023255813953488372,0.02197802197802198,0.0,0.008298755186721992,0.02617801047120419,0.028037383177570093,0.07258064516129033
0.03225806451612903,0.06976744186046512,0.06593406593406594,0.024691358024691357,0.03734439834024896,0.04712041884816754,0.04672897196261682,0.12903225806451613
0.0,0.0,0.0,0.0,0.008298755186721992,0.0,0.0,0.016129032258064516
0.053763440860215055,0.06976744186046512,0.06593406593406594,0.1111111111111111,0.04564315352697095,0.12041884816753927,0.028037383177570093,0.04032258064516129
0.010752688172043012,0.0,0.01098901098901099,0.024691358024691357,0.029045643153526972,0.005235602094240838,0.009345794392523364,0.008064516129032258
0.0967741935483871,0.05813953488372093,0.04395604395604396,0.037037037037037035,0.06224066390041494,0.06806282722513089,0.102803738317757,0.06451612903225806
0.0,0.0,0.02197802197802198,0.024691358024691357,0.004149377593360996,0.015706806282722512,0.0,0.016129032258064516
0.0,0.0,0.02197802197802198,0.0,0.0,0.005235602094240838,0.009345794392523364,0.0
