nonperson,author,authorOfColor-manual,auto find,checkedRandomly,,
0,David Lodge,0,n,1,,
0,David Mamet,0,n,1,,
0,David Rosenfelt,0,n,1,,
0,David Sedaris,0,n,1,,
0,Dayal Kaur Khalsa,0,n,1,,
0,Dean Hamer,0,n,1,,
0,Debbie Dadey,0,n,1,,
0,Debbie Ford,0,n,1,,
0,Debbie Macomber,0,n,1,,
0,Deborah Garrison,0,n,1,,
0,Deborah Muller Price,0,n,1,,
0,Deborah Tannen,0,n,1,,
0,Dennis L. McKiernan,0,n,0,,
0,Dennis Lehane,0,n,0,,
0,Desiree Hartsock,0,n,0,,
0,Dian Curtis Regan,0,n,0,,
0,Diana Palmer,0,n,0,,
0,Diane Noble,0,n,0,,
0,Diane Ryan,0,n,0,,
0,Diane Warner,0,n,0,,
0,Dick Couch,0,n,0,,
1,Disney,0,n,0,,
1,DK,0,n,0,,
0,Dominick Dunne,0,n,0,,
0,Don Freeman,0,n,0,,
0,Don Winslow,0,n,0,,
0,Donna Leon,0,n,0,,
0,Donna Strother Deekens,0,n,0,,
0,Dorothy Allison,0,n,0,,
0,Dorothy Cork,0,n,0,,
0,Dorothy Dunnett,0,n,0,,
0,Dorothy R. Bates,0,n,0,,
0,Doug Dollemore,0,n,0,,
0,Douglas Wile,0,n,0,,
0,Dr. Leonard Coldwell,0,n,0,,
0,Dunya Dianne McPherson,0,n,0,,
0,E. Bradford Burns,0,n,0,,
0,E. Denis Wilson,0,n,0,,
0,E. L. Konigsburg,0,n,0,,
0,Edgar Rice Burroughs,0,n,0,,
0,Edith Sergran,0,n,0,,
1,Editors of Publications International,0,n,0,,
0,Edmond J. Mongeon,0,n,0,,
0,Edmund S. Morgan,0,n,0,,
0,Edward Abbey,0,n,0,,
0,Edward M. Hallowell,0,n,0,,
0,Edward Rutherfurd,0,n,0,,
0,Eiji Yoshikawa,1,n,0,,
0,Elena Louise Richmond,0,n,0,,
0,Eli Powell,0,n,0,,
0,Elin Hilderbrand,0,n,0,,
0,Elizabeth George,0,n,0,,
0,Elizabeth Moon,0,n,0,,
0,Elizabeth Peters,0,n,0,,
0,Elizabeth R Cregan,0,n,0,,
0,Elle Kennedy,0,n,0,,
0,Ellen Datlow,0,n,0,,
0,Ellen Forney,0,n,0,,
0,Ellen Hopkins,0,n,0,,
0,Ellen Raskin,0,n,0,,
0,Ellen Wilson,0,n,0,,
0,Ellery Queen,0,n,0,,
0,Ellis Peters,0,n,0,,
0,Eloise Wilkin,0,n,0,,
0,Elsa Petersen-Schepelern,0,n,0,,
0,Elvin McDonald,0,n,0,,
0,Emily Bronte,0,n,0,,
0,Emily Giffin,0,n,0,,
0,Emily Liebert,0,n,0,,
0,Emily Rodda,0,n,0,,
0,Enrique Vila-Matas,0,n,0,,
0,Eric Hill,0,n,0,,
0,Eric Van Lustbader,0,n,0,,
0,Eric Worre,0,n,0,,
0,Ernest Samuels,0,n,0,,
0,Ernst Weiss,0,n,0,,
0,"Eugene Lederer, William Burdick",0,n,0,,
0,Eva Ibbotson,0,n,0,,
0,Evan Goldstein,0,n,0,,
0,Evelyn Vaughn,0,n,0,,
0,Evelyn Waugh,0,n,0,,
0,Fakegrimlock,0,n,0,,
0,Fannie Merritt Farmer,0,n,0,,
0,Fern Michaels,0,n,0,,
0,Fiona Watt,0,n,0,,
0,Fleur Jaeggy,0,n,0,,
0,Frances Hardinge,0,n,0,,
0,Frederick D. Huebner,0,n,0,,
0,G. K. Chesterton,0,n,0,,
0,Gail Tsukiyama,1,n,0,,
0,George E. Dvorchak,0,n,0,,
0,George R. R. Martin,0,n,0,,
0,George S. Kaufman,0,n,0,,
0,George Tenet,0,n,0,,
0,Gerald McDermott,0,n,0,,
0,Gertrude Chandler Warner,0,n,0,,
0,Golden Books,0,n,0,,
0,Gordon Lish,0,n,0,,
0,Grace Windsor,0,n,0,,
0,Grant Cogswell,0,n,0,,
0,Great Source,0,n,0,,
0,Greg Alexander,0,n,0,,
0,Greg Bell,1,n,0,,
0,Greg Egan,0,n,0,,
0,Greg Mortenson,0,n,0,,
0,Gregg Olsen,0,n,0,,
0,Harriet Ziefert,0,n,0,,
0,Harrison Edward Livingstone,0,n,0,,
0,Harry Mark Petrakis,0,n,0,,
0,Harvey Karp,0,n,0,,
0,Hazel Gaynor,0,n,0,,
0,Heidi Murkoff,0,n,0,,
0,Helen Fielding,0,n,0,,
0,Helen Oxenbury,0,n,0,,
0,Helene Tursten,0,n,0,,
0,Henrik Ibsen,0,n,0,,
0,Henry David Thoreau,0,n,0,,
0,Henry Roth,0,n,0,,
0,Henry Sutton,0,n,0,,
0,Hilary Mantel,0,n,0,,
0,Hilary More,0,n,0,,
0,"Hollis Hodges, Loup Durand, Elliott Roosevelt Henry Denker",0,n,0,,
0,Horatio Castellanos Moya,1,n,0,,
0,Houghton Mifflin,0,n,0,,
0,HsuÌˆan Hua,1,n,0,,
0,Human Rights Watch,0,n,0,,
0,Huvell Edwards,0,n,0,,
0,Hyperion,0,n,0,,
0,Idalia Rosario,1,n,0,,
0,Ignacio Manuel Altamirano,1,n,0,,
0,"Iii, Brandford",0,n,0,,
0,Ingrid Roper,0,n,0,,
1,Instant Maxwell House Coffee,0,n,0,,
0,Ismail Kadare,0,n,0,,
0,Ivan Doig,0,n,0,,
0,J. D. Robb,0,n,0,,
0,J. P. Monninger,0,n,0,,
0,J. W. Powell,0,n,0,,
0,J.R.R. Tolkien,0,n,0,,
0,Jack Clifford Smith,0,n,0,,
0,Jack Gantos,0,n,0,,
0,Jack Otten,0,n,0,,
0,Jacqueline Saulnier,0,n,0,,
0,Jacqueline Wilson,0,n,0,,
0,James Anderson,0,n,0,,
0,James Axler,0,n,0,,
0,James Beard,0,n,0,,
0,James Grady,0,n,0,,
0,James Gregor,0,n,0,,
0,James Rollins,0,n,0,,
0,Jamie Gilson,0,n,0,,
0,Jamie Langston Turner,0,n,0,,
0,Jan Pfloog,0,n,0,,
0,Jan Steinbright,0,n,0,,
0,Jane Austen,0,n,0,,
0,Jane Chapman,0,n,0,,
0,Jane Werner Watson,0,n,0,,
0,Janet Lee Carey,0,n,0,,
0,Janet Stevens,0,n,0,,
0,Jayne Castle,0,n,0,,
0,Jeanette Winterson,0,n,0,,
0,Jeanne Willis,0,n,0,,
0,jeannette brown mackenzie,0,n,0,,
0,Jeannette Walls,0,n,0,,
0,Jeff Johnson,0,n,0,,
0,Jeff Stone,0,n,0,,
0,Jeffrey Archer,0,n,0,,
0,Jennifer Morey,0,n,0,,
0,Jennifer Pullen,0,n,0,,
0,Jenny Nimmo,0,n,0,,
0,Jeremiah Healy,0,n,0,,
0,Jerome Stern,0,n,0,,
0,Jerry Allan,0,n,0,,
0,Jerry Frissen,0,n,0,,
0,Jess Stein,0,n,0,,
0,Jill Lauren,0,n,0,,
0,Jill Rappaport,0,n,0,,
0,Jim Erskine,0,n,0,,
0,Jim Lynch,0,n,0,,
0,Jim Petersen,0,n,0,,
0,Jim Thomas,0,n,0,,
0,Joan Carris,0,n,0,,
0,Joan Holub,0,n,0,,
0,Joan Wellman,0,n,0,,
0,JoAnn Ross,0,n,0,,
0,Joanne Fluke,0,n,0,,
0,Joao Ubaldo Ribeiro,1,n,0,,
0,Jodi Kantor,0,n,0,,
0,Joe Cummings,0,n,0,,
0,Joe Gores,0,n,0,,
0,Joe Troiano,0,n,0,,
0,Johanna Van Der Bruggen,0,n,0,,
0,John Baur,0,n,0,,
0,John Berendt,0,n,0,,
0,John Boothroyd,0,n,0,,
0,John Brunner,0,n,0,,
0,John Calvin Batchelor,0,n,0,,
0,John D. MacDonald,0,n,0,,
0,John E. Douglas,0,n,0,,
0,John E. Fitch,0,n,0,,
0,John Flanagan,0,n,0,,
0,John Gray,0,n,0,,
0,John Irving,0,n,0,,
0,John Le Carré,0,n,0,,
0,John Lescroart,0,n,0,,
0,John Louis Feirer,0,n,0,,
0,John Medina,0,n,0,,
0,John Steakley,0,n,0,,
0,John Updike,0,n,0,,
0,John Van de Ruit,0,n,0,,
0,John Wood,0,n,0,,
0,Jon Steele,0,n,0,,
0,Jon Stewart,0,n,0,,
0,Jonathan Rabb,0,n,0,,
0,Jose Saramago,0,n,0,,
0,Joseph J. Andrade,0,n,0,,
0,Joseph Kanon,0,n,0,,
0,Joseph T. Catalano,0,n,0,,
0,Josie Dew,0,n,0,,
0,Joy Richardson,0,n,0,,
0,Joyce Brothers,0,n,0,,
0,Joyce Carol Oates,0,n,0,,
0,Joyce McDonald,0,n,0,,
0,Jude Watson,0,n,0,,
0,Judi Barrett,0,n,0,,
0,Judith McNaught,0,n,0,,
0,Judith Viorst,0,n,0,,
0,Judy Donnelly,0,n,0,,
0,Judy Glattstein,0,n,0,,
0,Judy Van der Veer,0,n,0,,
0,Juli Brenning,0,n,0,,
0,Julia A Kittross,0,n,0,,
0,Julian Bell,0,n,0,,
0,Julian Calder,0,n,0,,
0,Julie Aigner-Clark,0,n,0,,
0,Julie Andrews Edwards,0,n,0,,
0,Juliet Marillier,0,n,0,,
0,Julius Caesar,0,n,0,,
0,June Lewis Shore,0,n,0,,
0,Justine Korman,0,n,0,,
0,K.R. Abhisheck,1,n,0,,
0,Karen Cleveland,0,n,0,,
0,Karen Dolby,0,n,0,,
0,Karen Katz,0,n,0,,
0,Karen Kaufman,0,n,0,,
0,Kate Wilhelm,0,n,0,,
0,Kathleen Duey,0,n,0,,
0,Kathleen Huggins,0,n,0,,
0,Katz,0,n,0,,
0,Kay Baxter,0,n,0,,
0,Kay Thompson,0,n,0,,
0,Kazimierz Brandys,0,n,0,,
0,Kei Toume,1,n,0,,
0,Kelly M Vlcek,0,n,0,,
0,Ken Armstrong,0,n,0,,
0,Ken Follett,0,n,0,,
0,Kenneth K. Guilmartin,0,n,0,,
0,Kenneth Thomasma,0,n,0,,
0,Kent Wascom,0,n,0,,
0,Kevin Lewis,1,n,0,,
0,Kim Vogel Sawyer,0,n,0,,
0,Kimberla Lawson Roby,1,n,0,,
0,Kirk Marshall,0,n,0,,
0,"Knox Williams, Betsy Armstrong",0,n,0,,
0,Komaiko,0,n,0,,
0,Krista Davis,0,n,0,,
0,Kristen L. Depken,0,n,0,,
0,L. M. Montgomery,0,n,0,,
0,L. Sprague De Camp,0,n,0,,
0,Lao Tzu,1,n,0,,
0,Laura Ingalls Wilder,0,n,0,,
0,Laura Lee Hope,0,n,0,,
0,Laura Shovan,0,n,0,,
0,Lauren Groff,0,n,0,,
0,Laurie Isop,0,n,0,,
0,Lawrence Block,0,n,0,,
0,Leila Guerriero,1,n,0,,
0,Len Deighton,0,n,0,,
0,Leo Marks,0,n,0,,
0,Leslie Glass,0,n,0,,
0,Lex Williford,0,n,0,,
0,Liane Moriarty,0,n,0,,
0,Linda Buckley-Archer,0,n,0,,
0,Linda Greenlaw,0,n,0,,
0,Linda Howard,0,n,0,,
0,Linda J. Murray,0,n,0,,
0,Linda Johns,0,n,0,,
0,Linda Lael Miller,0,n,0,,
0,Linda Olsson,0,n,0,,
0,Linda Wagner Tyler,0,n,0,,
0,Lisa Kleypas,0,n,0,,
0,Lisa Rofel,0,n,0,,
0,Lisa Scottoline,0,n,0,,
0,Lisa Yee,1,n,0,,
0,Lisa Yockelson,0,n,0,,
0,Liz Kessler,0,n,0,,
0,Liza Alexander,0,n,0,,
0,Lois Duncan,0,n,0,,
0,Lois Lowry,0,n,0,,
0,Lojze Kovacic,0,n,0,,
0,Lorelei James,0,n,0,,
0,Lorna Landvik,0,n,0,,
0,Lorrie Moore,0,n,0,,
0,Louis Sachar,0,n,0,,
0,Louise Kennedy,0,n,0,,
0,Lucy Jane Bledsoe,0,n,0,,
0,Lydia Child,0,n,0,,
0,Lynda La,0,n,0,,
0,Lynn Mason,0,n,0,,
0,Lynne Vogel,0,n,0,,
0,Lynsay Sands,0,n,0,,
0,Mac Davis,0,n,0,,
0,Madeleine Albright,0,n,0,,
1,Magazine Editors of Time,0,n,0,,
0,Maisey Yates,0,n,0,,
0,Manuel Puig,0,n,0,,
0,Marc Benioff,0,n,0,,
0,Marc Brown,0,n,0,,
0,Marc Cerasini,0,n,0,,
0,Marc Kornblatt,0,n,0,,
0,Margaret Wise Brown,0,n,0,,
0,Marge Piercy,0,n,0,,
0,Margery Allingham,0,n,0,,
0,Marian Potter,0,n,0,,
0,Marianne Berkes,0,n,0,,
0,Marilyn Reynolds,0,n,0,,
0,Marion Coste,0,n,0,,
0,Marion Dane Bauer,0,n,0,,
0,Marissa Meyer,0,n,0,,
0,Marius Gabriel,0,n,0,,
0,Marjorie Weinman Sharmat,0,n,0,,
0,Mark Johnson,0,n,0,,
0,Mark Nepo,0,n,0,,
0,Marshall H. Klaus,0,n,0,,
0,Martin Cruz Smith,0,n,0,,
0,Martin Handford,0,n,0,,
0,Martin Henry,0,n,0,,
0,Martin Yan,1,n,0,,
0,Marty Wingate,0,n,0,,
0,Mary Alice Jones,0,n,0,,
0,Mary Alice Monroe,0,n,0,,
0,Maryana Vollstedt,0,n,0,,
0,Matthew Quick,0,n,0,,
0,Maurice Sendak,0,n,0,,
0,Maurizio De Giovanni,0,n,0,,
0,Maury Allen,0,n,0,,
0,Mawi Asgedom,1,n,0,,
0,Meg Keene,0,n,0,,
0,Megan McDonald,0,n,0,,
0,Melanie Paine,0,n,0,,
0,Melissa Lagonegro,0,n,0,,
0,Mercedes Lackey,0,n,0,,
0,Michael Connelly,0,n,0,,
0,Michael Cunningham,0,n,0,,
0,Michael Hingson,0,n,0,,
0,Michael J. Fox,0,n,0,,
0,Michael Pollan,0,n,0,,
0,Michael S. Reynolds,0,n,0,,
0,Michael Shaara,0,n,0,,
0,Michael T. Murray,0,n,0,,
0,Michelle Spring,0,n,0,,
0,Michiko Saito,1,n,0,,
0,Mick Farren,0,n,0,,
0,Midge Raymond,0,n,0,,
0,Mike Lofgren,0,n,0,,
0,Mike Stensvoid,0,n,0,,
0,Molly Bloom,0,n,0,,
0,Myla Goldberg,0,n,0,,
0,Myles J Schneider,0,n,0,,
0,Najīb Maḥfūẓ,1,n,0,,
0,Nancy Atherton,0,n,0,,
0,Nancy Garden,0,n,0,,
0,Nancy L. Mace,0,n,0,,
0,Natalie Standiford,0,n,0,,
0,Nathaniel Hawthorne,0,n,0,,
1,National Geographic Learning,0,n,0,,
0,National Presto,0,n,0,,
0,Neal Thompson,0,n,0,,
0,Ngaio Marsh,0,n,0,,
1,Nickelodeon,0,n,0,,
0,Nicole Mones,0,n,0,,
0,Nora Roberts,0,n,0,,
0,Norah McClintock,0,n,0,,
0,Norm Stamper,0,n,0,,
0,Norman Bridwell,0,n,0,,
0,Olive Ann Burns,0,n,0,,
0,Ono no Komachi,1,n,0,,
0,Oriol Vidal,0,n,0,,
0,Pam Grossman,0,n,0,,
0,Par.H.Martin,0,n,0,,
1,Parents Magazine play,0,n,0,,
0,Parnell Hall,0,n,0,,
0,Patric Kuh,0,n,0,,
0,Patricia MacLachlan,0,n,0,,
0,Patricia Moyes,0,n,0,,
0,Patricia Reilly Giff,0,n,0,,
0,Patrick Carman,0,n,0,,
0,Patrick Skene Catling,0,n,0,,
0,Paul Cheremisinoff,0,n,0,,
0,Paul Fleischman,0,n,0,,
0,Paul Murray,0,n,0,,
0,Paul Myers,0,n,0,,
0,Paul Parker,0,n,0,,
0,Paul Selig,0,n,0,,
0,Paula Fox,0,n,0,,
0,Paula Harrison,0,n,0,,
0,Peggy DesAutels,0,n,0,,
0,Pema Chödrön,0,n,0,,
0,Pete Hamill,0,n,0,,
0,Peter Corris,0,n,0,,
0,Peter Pezzelli,0,n,0,,
0,Peter Stafford Carey,0,n,0,,
0,Phil Pepe,0,n,0,,
0,Philippa Gregory,0,n,0,,
0,Phillip Margolin,0,n,0,,
0,Phineas Mollod,0,n,0,,
0,Phyllis A. Whitney,0,n,0,,
0,Pierre Bayard,0,n,0,,
0,Piers Anthony,0,n,0,,
1,Pittsburg Cultural Trust,0,n,0,,
0,Poppy Bloom,0,n,0,,
1,Popular Book Company Limited,0,n,0,,
0,Prapas Cholsaranon,1,n,0,,
1,Preschool Prep Company,0,n,0,,
0,Queen Noor,0,n,0,,
0,r s yeoman,0,n,0,,
0,R. K. Narayan,1,n,0,,
0,R. L. Stine,0,n,0,,
0,Rabee Jaber,1,n,0,,
0,Rachel Monroe,0,n,0,,
0,Radhika Sanghani,1,n,0,,
0,Randall Howard Ghent,0,n,0,,
0,Ray Bradbury,0,n,0,,
0,Rayford Clayton Reddell,0,n,0,,
0,Raymond Roussel,0,n,0,,
0,Reg Down,0,n,0,,
0,Reginald McKnight,1,n,0,,
0,Rene Goscinny,0,n,0,,
0,Rev. W. Awdry,0,n,0,,
0,Reza Aslan,1,n,0,,
1,RH Disney,0,n,0,,
0,Rhea Tregebov,0,n,0,,
0,Rhys Bowen,0,n,0,,
0,Rich Shapero,0,n,0,,
0,Richard Carlson,0,n,0,,
0,Richard Clarke,0,n,0,,
0,Richard Ford,0,n,0,,
0,Richard L. Brandt,0,n,0,,
0,Richard Nixon,0,n,0,,
0,Richard Van Camp,0,n,0,,
0,Richard Wagamese,1,n,0,,
0,Richard. J. Foster,0,n,0,,
0,Roald Dahl,0,n,0,,
0,Rob Scotton,0,n,0,,
0,Robert Galbraith,0,n,0,,
0,Robert Grossbach,0,n,0,,
0,Robert Jordan,0,n,0,,
0,Robert Kinerk,0,n,0,,
0,Robert Newton Peck,0,n,0,,
0,Roberta Grobel Intrater,0,n,0,,
0,Robin McKinley,0,n,0,,
0,Roland Smith,0,n,0,,
0,Ronald J. Glasser,0,n,0,,
0,Ronald Squibb,0,n,0,,
0,Ronald Steel,0,n,0,,
0,Ronald Wright,0,n,0,,
0,Ross Campbell,0,n,0,,
0,Ross Terrill,0,n,0,,
0,Russell Miller,0,n,0,,
0,Sallie Lowenstein,0,n,0,,
0,Sally Rippin,0,n,0,,
0,Sally-Lloyd-Jones,0,n,0,,
0,Sam Swope,0,n,0,,
0,Samuel R. Chand,1,n,0,,
0,Sandee Hathaway,0,n,0,,
0,Sandip Roy,1,n,0,,
0,Sandra Brown,0,n,0,,
0,Sara Paretsky,0,n,0,,
0,Sara Zarr,0,n,0,,
0,Sarah Helm,0,n,0,,
0,Sarah Schulman,0,n,0,,
0,Saroo Brierley,1,n,0,,
0,Saul Bellow,0,n,0,,
1,Scala Publishers,0,n,0,,
0,Scholastique Mukasonga,1,n,0,,
0,Seanan McGuire,0,n,0,,
0,Shannon Hale,0,n,0,,
0,Shari–Lapeña,0,n,0,,
0,Sharon Creech,0,n,0,,
0,Sharon Nastick,0,n,0,,
0,Sheldon Rampton,0,n,0,,
0,Sheri Amsel,0,n,0,,
0,Sherrilyn Kenyon,0,n,0,,
0,Sherry Shahan,0,n,0,,
