Cataloger,Book ID,Title,Count,Date,Neighborhood,Collections,Fiction or Nonfiction,Age Group,Category1,Category2,Dewey Wording,Subjects,Dewey Decimal,Summary,Languages,Original Languages,LC Classification,ISBN,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Review,Rating,Comment,Private Comment,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,ISBNs,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
A,168434172,The Body in the Library,1,1981,Sandy Point,Sandy Point 5,Fiction,Adult,Mystery,Null,1901-1945 > 20th Century > English > Fiction > Literature > Modern Period,"Detective and mystery stories|Large Type Books|Large type books|Marple, Jane (Fictitious character) > Fiction|Mystery fiction|Women detectives > England > Fiction",823.912,The Body in the Library by Agatha Christie (1981),English,English,PR6005 .H66,[0671424122],1,"Woodard, Colin",Author,,,"Viking (2016), 320 pages",,,,,Hardcover,320 p.; 6.25 inches,1.25 pounds,6.25 inches,9.25 inches,1.06 inches,6.25 x 1.06 x 9.25 inches,320 ,,,,,,,,"[0525427899, 9780525427896]",,1,amazon.com books,2019-05-05,,,16607798,,,,
A,168422807,"People We Know, Horses They Love",1,2004,Sandy Point,Sandy Point 2,Nonfiction,Adult,Nature/Gardening,Art,Agriculture & Animal Husbandry > Domestic Animals > Horse > Technology,,636.1,"People We Know, Horses They Love by Jill Rappaport (2004)",English,English,TR681 .F3,[1579548571],1,"Kingsolver, Barbara",Author,,,"Harper Perennial (2001), 464 pages",,,,,Paperback,464 p.; 5.31 inches,0.77 pounds,5.31 inches,8 inches,1.05 inches,5.31 x 1.05 x 8 inches,464 ,,,,,,,,"[9780060959036, 0060959037]",,1,amazon.com books,2019-05-05,,,2804,,,,
H,168634889,Big Ideas for Northwest Small Gardens,1,2003,Central District,CD3,Nonfiction,Adult,Nature/Gardening,Null,Agriculture & Animal Husbandry > Biography; History By Place > Domestic Gardening > North America > Oregon > Ornamental plants > Technology > West Coast U.S.,"Gardening > Northwest, Pacific|Landscape gardening > Northwest, Pacific",635.909795,Big Ideas for Northwest Small Gardens by Marty Wingate (2003),English,English,SB453.2 .N83,[1570612579],5,"Martin, Ann M.",Author,,,"Scholastic Paperbacks (1988), Edition: Reissue, 148 pages",,,,,Paperback,148 p.; 5.5 x 0.25 inches,0.5 pounds,0.25 inches,7.5 inches,5.5 inches,0.25 x 5.5 x 7.5 inches,148 ,,,,,,,,"[0590435086, 9780590435086]",,1,amazon.com,2019-05-05,,,241221,,,,
H,168634995,Brown Bears of Brooks River,1,1993,Central District,CD3,Nonfiction,Adult,Nature/Gardening,Null,"Mammals > Mathematics and Science > Ungulata, Carnivora, Domestic mammals > Zoology",,599.78,Brown Bears of Brooks River by Ronald Squibb (1993),English,English,,[0963801600],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,168007421,Growing Good Roses,1,1988,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,Agriculture & Animal Husbandry > Domestic Gardening > Ornamental plants > Roses > Taxonomic groupings > Technology,Rose culture|Rose culture > United States|Roses|Roses > United States,635.93372,Growing Good Roses by Rayford Clayton Reddell (1988),English,English,SB411 .R39,[0060158808],1,"Kingsolver, Barbara",Author,,,"Perennial / Harper-collins (2001), Edition: 1st Thus., 444 pages",,,,,Paperback,444 p.; 7.9 inches,0.95 pounds,7.9 inches,1.3 inches,5.2 inches,7.9 x 5.2 x 1.3 inches,444 ,,,,,,,,"[0965098885, 9780965098885]",,1,amazon.com,2019-05-05,,,2804,,,,
H,168007480,The American Gardener's World of Bulbs: Bulbs for Formal and Informal Gardens,1,1994,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,Agriculture & Animal Husbandry > Domestic Gardening > Ornamental plants > Technology,,635.9,The American Gardener's World of Bulbs: Bulbs for Formal and Informal Gardens by Judy Glattstein (1994),English,English,SB425 .G58,[0316315931],5,"Sheldon, Sidney",Author,,,"Grand Central Publishing (1998), Edition: Reissue, 384 pages",,,,,Paperback,384 p.; 4.25 inches,0.38 pounds,4.25 inches,6.88 inches,1.13 inches,4.25 x 1.13 x 6.88 inches,384 ,,,,,,,,"[0446604089, 9780446604086]",,1,amazon.com books,2019-05-05,,,10280,,,,
H,168007504,Around the House,1,1979,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,Arts and Recreation > Civic and landscape art > Landscape architecture  / landscape design > Private parks and grounds,,712.6,Around the House by David Frazier (1979),English,English,,[0825631432],1,"Fairstein, Linda",Author,,,"Dutton (2017), 480 pages",,,,,Paperback,480 p.; 4.25 inches,,4.25 inches,7.52 inches,1.01 inches,4.25 x 1.01 x 7.52 inches,480 ,,,,,,,,"[1101984031, 9781101984031]",,1,amazon.com,2019-05-05,,,16853536,,,,
H,168008119,Watch Me Plant a Garden (WELCOME BOOKS: MAKING THINGS),1,2002,Northgate,Northgate3,Nonfiction,Children's,Nature/Gardening,Null,Agriculture & Animal Husbandry > Domestic Gardening > Ornamental plants > Technology,,635.9,Watch Me Plant a Garden (WELCOME BOOKS: MAKING THINGS) by Jack Otten (2002),English,English,SB406.5 .O88,[0516235931],1,"Miller, Linda Lael",Author,,,"HQN (2017), Edition: Original, 400 pages",,,,,Paperback,400 p.; 4.22 inches,0.4 pounds,4.22 inches,6.59 inches,1.05 inches,4.22 x 1.05 x 6.59 inches,400 ,,,,,,,,"[037378970X, 9780373789702]",,1,amazon.com books,2019-05-05,,,18336654,,,,
A,168073115,"Walden, and Civil disobedience. Authoritative texts, background, reviews, and essays in criticism",1,1966,Northgate,Northgate4,Nonfiction,Adult,Nature/Gardening,Null,"American And Canadian > Authors, American and American Miscellany  > Literature > Middle 19th Century 1830-61",,818.308,"Walden, and Civil disobedience. Authoritative texts, background, reviews, and essays in criticism by Henry David Thoreau (1966)",English,English,PS3048.A1 1966,,5,"Van Vogt, A. E.",Author,,,"Southgate Press Inc. (1975), 224 pages",,,,,Hardcover,,,,,,,224 ,,,,,,,,,,1,amazon.com books,2019-05-08,,,23221154,,,,
A,168426834,The World Book Of House Plants,1,2012,Sandy Point,Sandy Point 4,Nonfiction,Adult,Nature/Gardening,Null,Agriculture & Animal Husbandry > Domestic Gardening > Ornamental plants > Technology,House plants|House plants. [from old catalog]|house plants,635.9,The World Book Of House Plants by Elvin McDonald (2012),English,English,SB419 .M25,[1258421488],5,"Komachi, Ono no",Author,,,"Vintage (1990), Edition: 1st Edition, 240 pages",,,,,Paperback,240 p.; 5.1 inches,0.5 pounds,5.1 inches,8.1 inches,0.62 inches,5.1 x 0.62 x 8.1 inches,240 ,,,,,,,,"[0679729585, 9780679729587]",,1,amazon.com books,2019-05-05,,,150301,,,,
A,168077675,The Opposite of Fate: Memories of a Writing Life,1,2004,Northgate,Northgate5,Fiction,Adult,Novel,Biography,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Chinese American families|Chinese Americans > Biography|Fate and fatalism|Fiction > Authorship|Fiction > authorship|Free will and determinism|Novelists, American > 20th century > Biography|Novelists, American > 20th century > Family relationships|Novelists, American > Biography|Novelists, American > Family relationships|Tan, Amy|Tan, Amy > Family|Tan, Amy, 1952-",813.54,The Opposite of Fate: Memories of a Writing Life by Amy Tan (2004),English,English,PS3570 .A48,[0142004898],1,"Hart, Carolyn",Author,,,"Avon (2011), Edition: Reprint, 304 pages",,,,,Paperback,304 p.; 4.19 inches,0.32 pounds,4.19 inches,6.75 inches,0.76 inches,4.19 x 0.76 x 6.75 inches,304 ,,,,,,,,"[0061453080, 9780061453083]",,1,amazon.com books,2019-05-05,,,9127928,,,,
H,168225713,Bastard Out of Carolina,1,1993,Columbia City,Cc 4,Fiction,Adult,Novel,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature [Bildingroman],Allegories|Child abuse > Fiction|Child abuse > South Carolina > Fiction|Domestic Fiction|Domestic fiction|Greenville County (S.C.) > Fiction|Lesbians > Fiction|Poverty > Fiction,813.54,Bastard Out of Carolina by Dorothy Allison (1993),"English, Achinese",English,PS3551 .L453,[9780452269576],1,"Dahl, Roald",Author,,,"Scholastic Inc. (1997), 89 pages",,,,,Paperback,89 p.; 7.4 inches,0.15 pounds,7.4 inches,0.4 inches,5.1 inches,7.4 x 5.1 x 0.4 inches,89 ,,,,,,,,"[0590032747, 9780590032742]",,1,amazon.com books,2019-04-13,,,28674,,,,
H,168221040,A Sin Such as This: A Novel,1,2018,Columbia City,Cc1,Fiction,Adult,Novel,Null,,,,A Sin Such as This: A Novel by Ellen Hopkins (2018),English,English,,[1476743681],1,"Numeroff, Laura",Author,,,"Scholastic (2003), 32 pages",,,,,Paperback,32 p.; 9.5 inches,0.25 pounds,9.5 inches,1 inch,8.5 inches,9.5 x 8.5 x 1 inches,32 ,,,,,,,,"[9780439442602, 0439442605]",,1,amazon.com books,2019-04-13,,,134420,,,,
H,168007185,Tell Me Lies: A Novel,1,2019,Northgate,Northgate3,Fiction,Adult,Novel,Null,,,,Tell Me Lies: A Novel by Carola Lovering (2019),English,English,,[1501169653],1,"McGuire, Seanan",Author,,,"DAW (2013), 357 pages",,,,,Paperback,357 p.; 4.19 inches,0.4 pounds,4.19 inches,6.81 inches,0.94 inches,4.19 x 0.94 x 6.81 inches,357 ,,,,,,,,"[0756408148, 9780756408145]",,1,amazon.com books,2019-05-04,,,11665985,,,,
A,168464709,The Matchmaker: A Novel,1,2014,Phinney-Green,Phinney-Green4,Fiction,Adult,Novel,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,The Matchmaker: A Novel by Elin Hilderbrand (2014),English,English,PS3558 .I384355,[0316099759],1,"Coulter, Catherine",Author,,,"Jove Books (2004), 347 pages",,,,,Paperback,347 p.; 4.2 inches,0.4 pounds,4.2 inches,6.8 inches,1 inch,4.2 x 1 x 6.8 inches,347 ,,,,,,,,"[0515135739, 9780515135732]",,1,amazon.com books,2019-05-05,,,69440,,,,
A,168464777,The Time Traveler's Wife,1,2004,Phinney-Green,Phinney-Green4,Fiction,Adult,Novel,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Domestic Fiction|Domestic fiction|Fantasy fiction|Librarians > Fiction|Librarians > United States > Fiction|Married people > Fiction|Married people > United States > Fiction|Newberry Library > Fiction|Time travel > Fiction|Women art students > Fiction|Women art students > United States > Fiction|fantasy fiction,813.54,The Time Traveler's Wife by Audrey Niffenegger (2004),English,English,PS3564 .I362,[0224072374],5,"Grisham, John",Author,,,"Dell Publishing Company (1992), 501 pages",,,,,Paperback,501 p.; 4.18 inches,0.57 pounds,4.18 inches,6.85 inches,1.05 inches,4.18 x 1.05 x 6.85 inches,501 ,,,,,,,,"[9780440211457, 044021145X]",,1,amazon.com books,2019-05-05,,,861125,,,,
A,167762912,Light of the Moon,1,2008,Queen Anne,Queen Anne 4,Fiction,Adult,Novel,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Americans > France > Fiction|Camargue (France) > Fiction|Last words > Fiction|Love Stories|Love stories|Mothers > Death > Fiction,813.54,Light of the Moon by Luanne Rice (2008),English,English,PS3568 .I289,[055358975X],1,"MacLaine, Shirley",Author,,,"Bantam (1988), 352 pages",,,,,Paperback,352 p.; 4.5 inches,0.4 pounds,4.5 inches,7 inches,0.75 inches,4.5 x 0.75 x 7 inches,352 ,,,,,,,,"[0553272993, 9780553272994]",,1,amazon.com books,2019-04-13,,,310062,,,,
H,168225733,"The Titan's Curse (Percy Jackson and the Olympians, Book 3)",1,2008,Columbia City,Cc 4,Fiction,Young Adult,SciFi/Fantasy,Null,21st Century > American And Canadian > Fiction > Literature,"Animals, Mythical > Fiction|Artemis (Greek deity) > Fiction|Monsters > Fiction|Mythology, Greek > Fiction|Titans (Mythology) > Fiction",813.6,"The Titan's Curse (Percy Jackson and the Olympians, Book 3) by Rick Riordan (2008)",English,English,PZ7 .R4829,[1423101480],1,"Mamet, David",Author,,,"Vintage (1993), Edition: 1st Vintage Books ed, 96 pages",,,,,Paperback,96 p.; 5.1 inches,0.1 pounds,5.1 inches,8 inches,0.3 inches,5.1 x 0.3 x 8 inches,96 ,,,,,,,,"[067974536X, 9780679745365]",,1,amazon.com books,2019-04-13,,,164233,,,,
H,168225740,"The Sea of Monsters (Percy Jackson and the Olympians, Book 2)",1,2007,Columbia City,Cc 4,Fiction,Young Adult,SciFi/Fantasy,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Camps > Fiction|Fantasy fiction|Fathers and sons > Fiction|Friendship > Fiction|Hades (Greek deity) > Fiction|Mythology, Greek > Fiction|Mythology, Greek > Juvenile fiction|Poseidon (Greek deity) > Fiction|Zeus (Greek deity) > Fiction|fantasy fiction",813.54,"The Sea of Monsters (Percy Jackson and the Olympians, Book 2) by Rick Riordan (2007)",English,English,PS3568 .I5866,[1423103343],5,"Herbert, Frank",Author,,,"G. P. Putnam's Sons (1982), Edition: 1st, 445 pages",,,,,Hardcover,9.68 inches,1 pound,9.68 inches,6.5 inches,1.67 inches,9.68 x 1.67 x 6.5 inches,445 ,,,,,,,,"[0399127216, 9780399127212]",,1,amazon.com,2019-04-13,,,70853,,,,
H,168225749,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",1,2009,Columbia City,Cc 4,Fiction,Young Adult,SciFi/Fantasy,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Animals, Mythical > Fiction|Animals, Mythical > Juvenile fiction|Camps > Fiction|Camps > Juvenile fiction|Labyrinths > Fiction|Labyrinths > Juvenile fiction|Monsters > Fiction|Monsters > Juvenile fiction|Mythology, Greek > Fiction|Mythology, Greek > Juvenile fiction|Titans (Mythology) > Fiction|Titans (Mythology) > Juvenile fiction",813.54,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4) by Rick Riordan (2009)",English,English,PZ7 .R4829,[1423101499],1,"Vlcek, Kelly M",Author,,,"Cliffs Notes (2000), Edition: 1, 112 pages",,,,,Paperback,112 p.; 5.25 inches,0.25 pounds,5.25 inches,8.25 inches,0.26 inches,5.25 x 0.26 x 8.25 inches,112 ,,,,,,,,"[0764585967, 9780764585968]",,1,amazon.com books,2019-04-13,,,2205296,,,,
H,168225754,"The Ruins of Gorlan (The Ranger's Apprentice, Book 1)",1,2006,Columbia City,Cc 4,Fiction,Young Adult,SciFi/Fantasy,Null,English > English Literature > Literature,Fantasy|Heroes > Fiction|fantasy,820,"The Ruins of Gorlan (The Ranger's Apprentice, Book 1) by John Flanagan (2006)",English,English,PZ7 .F598284,[0142406635],1,"Rutherfurd, Edward",Author,,,"Fawcett (1998), 1152 pages",,,,,Paperback,1152 p.; 4.17 inches,1.08 pounds,4.17 inches,6.84 inches,1.73 inches,4.17 x 1.73 x 6.84 inches,1152 ,,,,,,,,"[9780449002636, 0449002632]",,1,amazon.com books,2019-04-13,,,13532,,,,
H,168220965,A Canticle for Leibowitz,1,1984,Columbia City,Cc1,Fiction,Adult,SciFi/Fantasy,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature ,"Fiction in English|Science Fiction|Science Fiction, American|Science fiction|Science fiction, American|fiction in English|science fiction",813.54,A Canticle for Leibowitz by Walter M. Miller Jr. (1984),English,English,PS3563 .I4215,[0553273817],1,"Brown, Marc",Author,,,"Little, Brown Books for Young Readers (1984), Edition: Reprint, 30 pages",,,,,Paperback,30 p.; 7.63 inches,0.25 pounds,7.63 inches,10.13 inches,0.25 inches,7.63 x 0.25 x 10.13 inches,30 ,,,,,,,,"[9780316112321, 0316112321]",,1,amazon.com books,2019-04-13,,,156964,,,,
H,168635675,The Time Quake (The Gideon Trilogy),1,2010,Central District,CD4,Fiction,Young Adult,SciFi/Fantasy,Null,21st Century > English > Fiction > Literature > Modern Period,,823.92,The Time Quake (The Gideon Trilogy) by Linda Buckley-Archer (2010),English,English,PZ7 .B882338,[9781416915300],3,"Helm, Sarah",Author,,,"Anchor (2007), Edition: First Anchor Books E edition, 544 pages",,,,,Paperback,544 p.; 5.2 inches,1.12 pounds,5.2 inches,8 inches,1.4 inches,5.2 x 1.4 x 8 inches,544 ,,,,,,,,"[1400031400, 9781400031405]",,1,amazon.com books,2019-05-04,,,933496,,,,
H,168635762,"Eldest (Inheritance, Book 2)",1,2005,Central District,CD4,Fiction,Young Adult,SciFi/Fantasy,Null,"American And Canadian > Authors, American and American Miscellany  > Literature",Dragons > Fiction|Dragons > Juvenile fiction|Fantasy|Fantasy fiction|Imaginary places > Fiction|Imaginary places > Juvenile fiction|Youths' writings|Youths\' writings|fantasy|fantasy fiction,818,"Eldest (Inheritance, Book 2) by Christopher Paolini (2005)",English,English,PZ7 .P19535,[037582670X],5,"Lahiri, Jhumpa",Author,,,"Mariner Books (2004), Edition: Reprint, 291 pages",,,,,Paperback,291 p.; 5.5 inches,0.55 pounds,5.5 inches,8.25 inches,0.68 inches,5.5 x 0.68 x 8.25 inches,291 ,,,,,,,,"[9780618485222, 0618485228]",,1,amazon.com books,2019-05-04,,,3015,,,,
H,168006944,The Soprano Sorceress: The First Book of the Spellsong Cycle,1,1998,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Fantasy fiction|Magicians > Fiction|Marshall, Anna (Fictitious character) > Fiction|Music and magic > Fiction|Musical fiction|Women music teachers > Fiction|Women singers > Fiction|fantasy fiction",813.54,The Soprano Sorceress: The First Book of the Spellsong Cycle by L. E. Modesitt Jr. (1998),English,English,PS3563 .O264,[0812545591],5,"Christie, Agatha",Author,,,Pocket (1981),,,,,Paperback,6.9 inches,0.25 pounds,6.9 inches,0.6 inches,4.1 inches,6.9 x 4.1 x 0.6 inches,,,,,,,,,"[0671424122, 9780671424121]",,1,amazon.com books,2019-05-04,,,28612,,,,
H,168006960,The Magic Engineer ( A novel in The saga of Recluce),1,1995,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Fantasy fiction|Recluce (Imaginary place) > Fiction|fantasy fiction,813.54,The Magic Engineer ( A novel in The saga of Recluce) by L. E. Modesitt Jr. (1995),English,English,PS3563 .O264,[0812534050],1,"Montgomery, L. M.",Author,,,"CreateSpace Independent Publishing Platform (2014), 198 pages",,,,,Paperback,198 p.; 6 inches,0.6 pounds,6 inches,9 inches,0.45 inches,6 x 0.45 x 9 inches,198 ,,,,,,,,"[1503214133, 9781503214132]",,1,amazon.com books,2019-05-04,,,3253,,,,
H,168007090,The Sword of Angels (Bronze Knight),1,2006,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,American And Canadian > Fiction > Literature,,813,The Sword of Angels (Bronze Knight) by John Marco (2006),English,English,,[075640360X],1,"Brewster, David",Author,,,"Sasquatch Books (1993), Edition: 10",,,,,Paperback,5.5 x 1.5 inches,,1.5 inches,8.5 inches,5.5 inches,1.5 x 5.5 x 8.5 inches,,,,,,,,,"[0912365854, 9780912365855]",,1,amazon.com,2019-05-04,,,3429385,,,,
H,168007314,Shade of the Tree,1,1987,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Fantasy fiction|Ghost stories|Haunted places > Fiction|Trees > Wounds and injuries > Fiction|fantasy fiction,813.54,Shade of the Tree by Piers Anthony (1987),English,English,PS3551 .N73,[0812531035],1,"Gay, Roxane",Author,,,"Harper Perennial (2018), 368 pages",,,,,Paperback,320 p.; 5.19 inches,0.55 pounds,5.19 inches,7.97 inches,0.7 inches,5.19 x 0.7 x 7.97 inches,320 ,,,,,,,,"[0062413511, 9780062413512]",,1,amazon.com books,2019-04-13,,,20734563,,,,
H,168007652,The Devil's Armor (Bronze Knight),1,2004,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,American And Canadian > Fiction > Literature,,813,The Devil's Armor (Bronze Knight) by John Marco (2004),English,English,,[9780756402037],1,"Boynton, Sandra",Author,,,"Workman Publishing Company (1993), Edition: Illustrated., 24 pages",,,,,Board book,40 p.; 10 inches,0.9 pounds,10 inches,0.5 inches,8.4 inches,10 x 8.4 x 0.5 inches,40 ,,,,,,,,"[1563054426, 9781563054426]",,1,amazon.com books,2019-04-13,,,55325,,,,
H,168007654,Lady Robyn (War of the Roses),1,2004,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Americans > England > Fiction|Fantasy fiction|Great Britain > History > Wars of the Roses, 1455-1485 > Fiction|Historical Fiction|Historical fiction|Love stories|Time travel > Fiction|fantasy fiction|historical fiction",813.54,Lady Robyn (War of the Roses) by R. Garcia y Robertson (2004),English,English,PS3557 .A71125,[0765345730],1,"Lauren, Jill",Author,,,"Star Bright Books (2009), 40 pages",,,,,Hardcover,8.8 inches,0.1 pounds,8.8 inches,0.2 inches,7.2 inches,8.8 x 7.2 x 0.2 inches,,,,,,,,,"[1595722076, 9781595722072]",,1,amazon.com,2019-04-13,,,9561800,,,,
H,168007621,Midnight for Charlie Bone Children of the Red King Book 1 - NEW,1,2002,Northgate,Northgate3,Fiction,Young Adult,SciFi/Fantasy,Null,1945-1999 > 20th Century > English > Fiction > Literature > Modern Period,Aunts > Juvenile fiction|Boarding schools > Fiction|Boys > Juvenile fiction|Children > Psychic ability > Juvenile fiction|England > Fiction|England > fiction|Magic > Fiction|Schools > FIction|Schools > Fiction|Schools > fiction,823.914,Midnight for Charlie Bone Children of the Red King Book 1 - NEW by Jenny Nimmo (2002),English,English,PZ7 .N5897,[0439488397],1,"Brown, Margaret Wise",Author,,,"HarperFestival (2007), Edition: Reissue, 30 pages",,,,,Board book,28 p.; 6.13 inches,0.02 pounds,6.13 inches,6.13 inches,0.71 inches,6.13 x 0.71 x 6.13 inches,28 ,,,,,,,,"[0694003611, 9780694003617]",,1,amazon.com books,2019-04-13,,,39272,,,,
H,168072953,The Hobbit,1,1985,Northgate,Northgate4,Fiction,Adult,SciFi/Fantasy,Null,1901-1945 > 20th Century > English > Fiction > Literature > Modern Period,"Adventure|Adventure and adventurers > Juvenile fiction|Animation|Audiobooks|Baggins, Bilbo (Fictitious character) > Drama|Baggins, Bilbo (Fictitious character) > Fiction|Children's stories|Children's stories, English|Fantastic fiction|Fantastic fiction. gsafd|Fantasy|Fantasy Fiction, English|Fantasy drama|Fantasy fiction|Fantasy fiction, English|Hobbits (Fictitious characters) > Fiction|Middle Earth (Imaginary place) > Computer games|Middle Earth (Imaginary place) > Drama|Middle Earth (Imaginary place) > Fiction|Middle Earth (Imaginary place) > Juvenile fiction|Middle Earth (Imaginary place) > Study guides|Middle Earth (Imaginary place)--Fiction|Middle earth (imaginary place) > Drama|Quests (Expeditions) > Fiction|Tolkien, J. R. R. (John Ronald Reuel), 1892-1973 > Criticism and interpretation|Tolkien, J. R. R. (John Ronald Reuel), 1892-1973. Hobbit > Study guides|Voyages and travels > Juvenile fiction|Wizards > Fiction|animation|fantastic fiction|fantasy|fantasy fiction",823.912,The Hobbit by J.R.R. Tolkien (1985),English,English,PZ7 .T5744,[0345332075],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,168459076,"Daughter of the Forest (The Sevenwaters Trilogy, Book 1)",1,2002,Phinney-Green,Phinney-Green3,Fiction,Adult,SciFi/Fantasy,Null,21st Century > English > Fiction > Literature > Modern Period,Adventure stories|Australian fiction|Fantastic fiction|Fantasy > Fiction|Heroines > Fiction|adventure stories|fantastic fiction,823.92,"Daughter of the Forest (The Sevenwaters Trilogy, Book 1) by Juliet Marillier (2002)",English,English,PR9619.3 .M26755,[9780765343437],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,167762961,Inheritance (Inheritance Cycle),1,2011,Queen Anne,Queen Anne 4,Fiction,Adult,SciFi/Fantasy,Null,21st Century > American And Canadian > Fiction > Literature,,813.6,Inheritance (Inheritance Cycle) by Christopher Paolini (2011),English,English,PZ7 .P19535,[0375856110],5,"King, Stephen",Author,,,"NAL (2003), Edition: Revised, 272 pages",,,,,Paperback,272 p.; 5.96 inches,0.65 pounds,5.96 inches,8.99 inches,0.72 inches,5.96 x 0.72 x 8.99 inches,272 ,,,,,,,,"[0452284694, 9780452284692]",,1,amazon.com books,2019-04-13,,,3411,,,,
H,168221660,Veil of Time,1,2014,Columbia City,Cc2,Fiction,Adult,Novel,History,21st Century > American And Canadian > Fiction > Literature,,813.6,Veil of Time by Claire R. McDougall (2014),English,English,PS3613 .C3943,[9781451693812],1,"Goldstein, Evan",Author,,,"University of California Press (2006), Edition: 1st, 328 pages",,,,,Hardcover,328 p.; 7.5 inches,2.1 pounds,7.5 inches,9.5 inches,1.17 inches,7.5 x 1.17 x 9.5 inches,328 ,,,,,,,,"[0520243773, 9780520243774]",,1,amazon.com books,2019-04-13,,,2181721,,,,
H,168224249,Dancing at the Rascal Fair: A Novel,1,1988,Columbia City,Cc3,Fiction,Adult,Novel,History,1945-1999 > 20th Century > American And Canadian > Fiction > Literature [Bildingroman],Historical Fiction|Historical fiction|Montana > Fiction|Scottish Americans > Fiction|Scottsh Americans > Fiction|Western stories|historical fiction,813.54,Dancing at the Rascal Fair: A Novel by Ivan Doig (1988),English,English,PS3554 .O415,[0060971819],1,"Bryson, Bill",Author,,,"Broadway Books (2000), Edition: Reprint, 304 pages",,,,,Paperback,304 p.; 5.2 inches,0.58 pounds,5.2 inches,8 inches,0.7 inches,5.2 x 0.7 x 8 inches,304 ,,,,,,,,"[076790382X, 9780767903820]",,1,amazon.com books,2019-04-13,,,5810,,,,
H,168002573,A Moveable Feast,1,1977,Northgate,Northgate1,Fiction,Adult,Novel,History,"20th Century > American And Canadian > Authors, American and American Miscellany  > Literature","Americans > France > Paris > History > 20th century|Americans > Paris > History|Authors > Biography|Authors, American > 20th century > Biography|Authors, American > Biography|Hemingway, Ernest, 1899-1961|Hemingway, Ernest, 1899-1961 > Homes and haunts > France > Paris|Novelists, American > 20th century > Biography|Novelists, American > Biography|Paris (France) > Biography|Paris (France) > Intellectual life > 20th century|Paris (France) > Social life and customs > 20th century",818.5203,A Moveable Feast by Ernest Hemingway (1977),English,English,PS3515 .E37,[0586044647],1,"Thomas, Jim",Author,,,"Random House Children's Books (1999), Edition: 3rd ed., 47 pages",,,,,Paperback,47 p.; 6.25 inches,0.05 pounds,6.25 inches,9 inches,0.25 inches,6.25 x 0.25 x 9 inches,47 ,,,,,,,,"[0375800026, 9780375800023]",,1,amazon.com,2019-05-04,,,748378,,,,
H,168007117,Knight Errant (War of the Roses),1,2003,Northgate,Northgate3,Fiction,Adult,Novel,History,American And Canadian > Fiction > Literature,"Americans > England > Fiction|Fantasy fiction|Great Britain > History > Wars of the Roses, 1455-1485 > Fiction|Historical Fiction|Historical fiction|Knights and knighthood > Fiction|Love Stories|Love stories|Time travel > Fiction|fantasy fiction|historical fiction",813,Knight Errant (War of the Roses) by R. Garcia y Robertson (2003),English,English,PS3557 .A71125,[0765344912],1,"Hallowell, Edward M.",Author,,,"Touchstone (1995), Edition: Reprint, 319 pages",,,,,Paperback,319 p.; 5.75 inches,0.69 pounds,5.75 inches,8.5 inches,1 inch,5.75 x 1 x 8.5 inches,319 ,,,,,,,,"[0684801280, 9780684801285]",,1,amazon.com books,2019-05-04,,,55576,,,,
